ID,FIELD-0000,FIELD-0001,FIELD-0002,FIELD-0003,FIELD-0004,FIELD-0005,FIELD-0006,FIELD-0007,FIELD-0008
EC-05D,119381,52545,58865,1848,5097,257,188,581,0
EC-06,711644,322892,339821,16065,28559,805,754,2748,0
EC-06A,417817,193063,194487,10557,17364,425,375,1546,0
EC-06B,101180,45219,49183,2279,3841,152,136,370,0
EC-06C,88528,38853,44668,1212,3192,119,125,359,0
EC-06D,104119,45757,51483,2017,4162,109,118,473,0
EC-07,1063334,475892,523723,13150,41590,1863,1291,5825,0
EC-07A,67432,30592,32237,553,3360,147,115,428,0
EC-07B,78716,34240,39818,426,3494,137,79,522,0
EC-07C,91845,40748,44532,1726,3758,221,180,680,0
EC-07D,114701,50436,56222,1744,5230,227,161,681,0
EC-07E,96823,41825,48805,1861,3492,107,96,637,0
EC-07F,174783,76172,88398,1815,6925,256,194,1023,0
EC-07G,101909,46232,49993,952,3999,170,109,454,0
EC-07H,101749,49254,47638,915,3341,212,101,288,0
EC-07I,128107,58497,62856,2084,3870,216,121,463,0
EC-07J,107269,47896,53224,1074,4121,170,135,649,0
EC-08,814048,366105,400369,10379,30976,1294,980,3944,1
EC-08A,114441,50035,57247,2611,3626,129,111,682,0
EC-08B,141069,62283,70895,1532,5227,199,165,768,0
EC-08C,120072,53384,59236,1211,5227,161,172,681,0
EC-08D,94795,42140,47350,996,3672,150,120,367,0
EC-08E,102925,46981,49921,1022,4170,224,137,469,1
EC-08F,115805,54159,55134,1215,4572,207,124,394,0
EC-08G,124941,57123,60586,1792,4482,224,151,583,0
EC-09,599903,265822,299039,9105,20717,1013,825,3382,0
EC-09A,130611,58208,63874,1802,5463,209,190,865,0
EC-09B,75010,33770,36793,832,3036,150,85,344,0
EC-09C,193751,85914,97061,2833,6369,320,216,1038,0
EC-09D,200531,87930,101311,3638,5849,334,334,1135,0
EC-10,697392,342243,287994,20378,39274,565,875,6063,0
EC-10A,40018,20105,15936,1165,2249,40,56,467,0
EC-10B,46438,22746,18481,1911,2805,48,87,360,0
EC-10C,82534,39964,34941,2107,4699,71,107,645,0
EC-10D,52269,25694,21443,1103,3447,37,79,466,0
EC-10E,73225,35758,30312,2441,4023,64,65,562,0
EC-10F,45730,21560,18934,1636,2996,53,76,475,0
EC-10G,60331,29221,25631,1781,3059,46,76,517,0
EC-10H,64704,30566,26956,2743,3709,44,62,624,0
EC-10I,68142,32767,29821,639,4302,73,91,449,0
EC-10J,50491,25746,20794,795,2634,31,54,437,0
EC-10K,113510,58116,44745,4057,5351,58,122,1061,0
EC-11,363923,179137,154800,10159,16434,338,333,2722,0
EC-11A,99570,49087,44438,1674,3585,88,92,606,0
EC-11B,172115,85363,72289,4849,8160,183,139,1132,0
EC-11C,92238,44687,38073,3636,4689,67,102,984,0
EC-12,526567,261200,205340,30402,23265,1192,1229,3939,0
EC-12A,118925,57758,46332,8241,4945,359,364,926,0
EC-12B,128610,66028,45840,10106,5261,230,193,952,0
EC-12C,279032,137414,113168,12055,13059,603,672,2061,0
EC-13,649402,309455,295967,14610,22839,1959,1504,3068,0
EC-13A,201450,87687,102207,4639,5570,250,210,887,0
EC-13B,132741,68713,56227,2062,4290,545,341,563,0
EC-13C,143093,70415,61762,2464,6734,655,505,558,0
EC-13D,172118,82640,75771,5445,6245,509,448,1060,0
EC-14,379541,185771,166870,9737,13229,851,817,2266,0
EC-14A,192215,93223,86313,4790,6137,468,373,911,0
EC-14B,130705,63170,57655,3334,5047,248,283,968,0
EC-14C,56621,29378,22902,1613,2045,135,161,387,0
EC-15,1618465,674986,818074,32350,72936,4526,3728,11865,0
EC-15A,112271,46441,57979,1623,4722,266,285,955,0
EC-15B,119583,50012,60250,2667,5006,335,278,1035,0
EC-15C,156502,64490,79450,3565,6961,423,374,1239,0
EC-15D,125446,52442,63584,2270,5778,324,265,783,0
EC-15E,61425,25100,31898,863,2676,177,176,535,0
EC-15F,96128,39268,48384,1988,4993,306,268,921,0
EC-15G,114580,47232,57438,2536,5583,354,263,1174,0
EC-15H,124225,51048,64152,1659,5722,327,302,1015,0
EC-15I,131378,55491,65489,2678,6022,439,318,941,0
EC-15J,119946,48681,62303,2344,5290,294,265,769,0
EC-15K,135712,56366,67514,3742,6555,386,351,798,0
EC-15L,167651,72043,84523,3083,6581,441,285,695,0
EC-15M,64904,28138,31815,1416,2863,213,113,346,0
EC-15N,88714,38234,43295,1916,4184,241,185,659,0
EC-16,762396,338903,360019,20443,32718,1753,1472,7088,0
EC-16A,186308,92539,81520,5033,5325,389,383,1119,0
EC-16B,100650,41981,50548,2534,4035,242,209,1101,0
EC-16C,231705,101241,110428,5639,11181,519,420,2277,0
EC-16D,113223,47825,54588,3455,5847,287,208,1013,0
EC-16E,130510,55317,62935,3782,6330,316,252,1578,0
EC-17,860575,372056,428467,17688,33097,1943,1441,5883,0
EC-17A,92229,40079,45619,1694,3765,207,160,705,0
EC-17B,124321,54594,61954,2082,4469,310,199,713,0
EC-17C,98005,43215,47617,2447,3639,226,171,690,0
EC-17D,72353,30394,37052,1222,2790,149,144,602,0
EC-17E,168529,70010,85884,3354,7286,402,326,1267,0
EC-17F,196313,87235,95199,4945,7042,374,281,1237,0
EC-17G,108825,46529,55142,1944,4106,275,160,669,0
EC-18,406088,170479,208946,7255,15332,737,662,2677,0
EC-18A,108204,44192,56514,1980,4384,173,158,803,0
EC-18B,102027,42450,52562,1581,4421,199,180,634,0
EC-18C,195857,83837,99870,3694,6527,365,324,1240,0
EC-19,815405,363635,402176,13326,30832,1077,894,3465,0
EC-19A,127394,55207,65432,1943,3873,139,187,613,0
EC-19B,65365,28885,32614,874,2502,72,60,358,0
EC-19C,80188,35977,38813,1698,3189,99,62,350,0
EC-19D,75042,35423,35702,693,2751,124,97,252,0
EC-19E,90571,39952,44324,1678,3938,126,86,467,0
EC-19F,77998,33373,39638,1005,3514,87,65,316,0
EC-19G,100808,45022,50571,1021,3549,157,134,354,0
EC-19H,110683,49995,53886,2114,4034,159,105,390,0
EC-19I,87356,39801,41196,2300,3482,114,98,365,0
EC-20,451058,198958,227121,8609,12985,629,517,2239,0
EC-20A,107448,47801,54509,1162,3278,118,115,465,0
EC-20B,143663,64215,71787,2532,4057,214,172,686,0
EC-20C,199947,86942,100825,4915,5650,297,230,1088,0
EC-21,1088007,471830,540733,30451,35085,2008,1610,6290,0
EC-21A,199098,84014,101627,4147,7438,364,318,1190,0
EC-21B,120212,53531,57905,3779,3902,231,163,701,0
EC-21C,89469,38681,43528,3408,2989,173,149,541,0
EC-21D,141040,62119,70612,2344,4888,260,162,655,0
EC-21E,134039,58366,66574,3728,4043,263,226,839,0
EC-21F,141281,61179,68514,5334,4861,257,238,898,0
EC-21G,82201,34951,41213,2863,2392,149,112,521,0
EC-21H,180667,78989,90760,4848,4572,311,242,945,0
EC-22,840648,361050,417446,16410,37960,1828,1335,4619,0
EC-22A,113056,48208,55868,1951,5894,292,200,643,0
EC-22B,74490,31448,37850,1275,3272,152,97,396,0
EC-22C,90854,38623,45959,1056,4418,214,137,447,0
EC-22D,82769,35140,40625,2415,3816,200,169,404,0
EC-22E,111727,51086,53136,1779,4851,285,166,424,0
EC-22F,68464,29356,34553,816,3123,133,119,364,0
EC-22G,108191,45821,54076,2561,4659,200,168,706,0
EC-22H,63913,26948,32734,972,2665,146,102,346,0
EC-22I,127184,54420,62645,3585,5262,206,177,889,0
LK,20359439,9055540,9909769,415866,793088,41194,30920,113061,1
LK-1,5851130,2563742,2928377,95277,215202,13253,8077,27202,0
LK-11,2324349,1033373,1164286,36729,72445,5698,3040,8778,0
LK-1103,323257,154804,151927,5225,8742,906,401,1252,0
LK-1103005,7829,3768,3732,76,195,10,12,36,0
LK-1103010,28003,13169,12920,873,844,44,32,121,0
LK-1103015,17757,8404,8498,294,443,31,20,67,0
LK-1103020,12970,6287,6290,91,198,14,20,70,0
LK-1103025,8809,4139,4333,45,204,24,17,47,0
LK-1103030,13625,6425,6410,381,338,13,14,44,0
LK-1103035,12423,5833,5969,264,307,11,9,30,0
LK-1103040,13802,6336,6936,100,332,23,18,57,0
LK-1103045,6385,2819,2736,591,212,7,8,12,0
LK-1103050,9409,4405,4606,146,224,19,3,6,0
LK-1103055,9339,4523,4448,52,266,13,16,21,0
LK-1103060,8110,3845,4092,30,109,15,1,18,0
LK-1103065,8516,4131,3958,73,284,35,11,24,0
LK-1103070,13436,6438,6178,377,360,28,10,45,0
LK-1103075,17588,8516,8072,228,563,74,25,110,0
LK-1103080,8904,4302,4203,40,272,35,15,37,0
LK-1103085,6821,3201,3329,153,94,6,6,32,0
LK-1103090,11524,5584,5572,46,260,24,12,26,0
LK-1103095,13683,6735,6258,109,424,54,18,85,0
LK-1103100,10053,4814,4741,22,361,42,25,48,0
LK-1103105,7517,3678,3492,15,235,50,12,35,0
LK-1103110,7746,3790,3680,99,123,22,9,23,0
LK-1103115,1924,987,881,43,9,2,1,1,0
LK-1103120,1473,953,425,84,8,3,0,0,0
LK-1103125,3789,1776,1804,17,131,23,7,31,0
LK-1103130,3795,1763,1835,17,149,14,7,10,0
LK-1103135,6883,3360,3146,40,262,40,10,25,0
LK-1103140,3915,1834,1965,15,83,13,1,4,0
LK-1103145,7221,3545,3117,166,313,40,6,34,0
LK-1103150,8467,4035,3474,582,291,47,9,29,0
LK-1103155,8968,4202,4318,30,319,39,17,43,0
LK-1103160,8526,4423,3824,38,180,26,9,26,0
LK-1103165,4591,2154,2267,19,112,22,1,16,0
LK-1103170,2617,1467,1027,54,43,15,4,7,0
LK-1103175,6839,3163,3391,15,194,28,16,32,0
LK-1106,191687,86830,93394,4612,5442,446,217,746,0
LK-1106005,7606,3584,3640,95,210,17,9,51,0
LK-1106010,6934,3188,3173,389,144,8,7,25,0
LK-1106015,2308,1016,1160,32,79,5,4,12,0
LK-1106020,5083,2285,2534,67,154,16,5,22,0
LK-1106025,2119,997,1040,15,61,0,0,6,0
LK-1106030,5900,2841,2679,135,189,14,7,35,0
LK-1106035,8432,3912,3745,570,156,18,8,23,0
LK-1106040,4671,2114,2325,52,138,9,7,26,0
LK-1106045,5761,2644,2869,50,146,17,9,26,0
LK-1106050,7611,3556,3775,3,214,22,14,27,0
LK-1106055,3703,1663,1939,31,54,5,4,7,0
LK-1106060,4649,1961,1978,584,102,12,3,9,0
LK-1106065,4040,1777,2066,21,150,13,1,12,0
LK-1106070,2767,1204,1293,83,158,6,4,19,0
LK-1106075,4439,1946,2170,170,118,8,6,21,0
LK-1106080,3283,1453,1672,43,101,7,2,5,0
LK-1106085,3535,1567,1693,160,105,2,1,7,0
LK-1106090,3349,1482,1659,45,125,9,5,24,0
LK-1106095,4103,1860,2018,91,104,10,6,14,0
LK-1106100,2244,1047,1094,0,82,16,1,4,0
LK-1106105,3603,1770,1752,19,41,4,2,15,0
LK-1106110,2342,1076,1198,3,52,4,3,6,0
LK-1106115,5867,2751,2846,41,184,14,9,22,0
LK-1106120,4078,1833,1801,243,163,10,5,23,0
LK-1106125,10149,4823,4527,375,342,33,14,35,0
LK-1106130,3221,1490,1680,7,37,3,1,3,0
LK-1106135,4715,2152,2345,30,154,6,5,23,0
LK-1106140,2946,1238,1571,50,72,4,3,8,0
LK-1106145,4935,2191,2488,134,86,9,5,22,0
LK-1106150,5096,2197,2672,21,169,13,4,20,0
LK-1106155,2643,1167,1294,135,43,2,0,2,0
LK-1106160,2083,919,1060,58,36,3,1,6,0
LK-1106165,6442,2942,3031,275,136,26,7,25,0
LK-1106170,2408,1016,1330,1,52,2,2,5,0
LK-1106175,3879,1673,1988,54,134,6,7,17,0
LK-1106180,3344,1433,1745,43,106,6,3,8,0
LK-1106185,4044,2007,1722,85,141,32,7,50,0
LK-1106190,1944,820,1000,61,48,7,1,7,0
LK-1106195,2567,1100,1327,6,114,5,1,14,0
LK-1106200,2580,1150,1253,45,103,3,6,20,0
LK-1106205,5213,2381,2504,175,125,11,5,12,0
LK-1106210,3173,1422,1637,8,93,9,0,4,0
LK-1106215,2533,1122,1351,6,44,4,2,4,0
LK-1106220,3761,1653,1857,82,152,6,5,6,0
LK-1106225,2181,947,1136,11,74,2,5,6,0
LK-1106230,3403,1460,1757,8,151,8,11,8,0
LK-1109,252041,107215,132159,3123,7758,550,308,928,0
LK-1109005,4997,2143,2607,101,112,4,12,18,0
LK-1109010,4030,1747,2134,22,98,7,3,19,0
LK-1109015,4165,1726,2300,13,89,4,13,20,0
LK-1109020,4342,1912,2295,50,58,6,3,18,0
LK-1109025,4224,1790,2212,40,155,7,3,17,0
LK-1109030,4261,1837,2223,43,142,2,1,13,0
LK-1109035,3863,1605,2018,16,176,19,5,24,0
LK-1109040,5530,2437,2583,262,196,17,5,30,0
LK-1109045,4878,2051,2646,34,115,8,4,20,0
LK-1109050,2099,871,1095,26,86,3,3,15,0
LK-1109055,6091,2787,2924,241,99,15,10,15,0
LK-1109060,5495,2364,2916,7,178,6,5,19,0
LK-1109065,3131,1334,1718,62,6,1,5,5,0
LK-1109070,7680,3575,3872,48,147,15,10,13,0
LK-1109075,4405,1815,2412,9,137,8,7,17,0
LK-1109080,9178,3960,4318,584,262,8,7,39,0
LK-1109085,2871,1280,1448,27,90,6,7,13,0
LK-1109090,1913,882,893,85,44,1,2,6,0
LK-1109095,4842,2173,2532,14,96,7,7,13,0
LK-1109100,2105,901,1087,15,90,0,1,11,0
LK-1109105,1876,798,947,7,102,6,4,12,0
LK-1109110,2623,1110,1356,10,124,4,5,14,0
LK-1109115,6922,2804,3878,17,159,31,9,24,0
LK-1109120,5133,2153,2773,26,134,19,4,24,0
LK-1109125,5958,2479,3247,128,77,13,3,11,0
LK-1109130,5141,2159,2786,59,107,8,4,18,0
LK-1109135,3777,1593,2020,19,123,8,7,7,0
LK-1109140,2793,1200,1299,185,99,3,3,4,0
LK-1109145,6734,2884,3417,160,224,18,9,22,0
LK-1109150,9250,3921,4901,27,338,19,14,30,0
LK-1109155,8518,3615,4573,70,219,14,9,18,0
LK-1109160,4287,1822,2268,40,133,9,6,9,0
LK-1109165,3087,1335,1543,23,144,9,6,27,0
LK-1109170,2568,1135,1276,6,119,14,7,11,0
LK-1109175,2465,1001,1308,0,138,8,2,8,0
LK-1109180,2001,792,1149,1,53,3,1,2,0
LK-1109185,7582,3283,4002,18,233,14,5,27,0
LK-1109190,7422,3092,3991,29,261,17,5,27,0
LK-1109195,6238,2646,3209,140,181,15,7,40,0
LK-1109200,4501,1858,2401,23,183,7,9,20,0
LK-1109205,5799,2363,3227,24,133,17,11,24,0
LK-1109210,3027,1254,1624,9,125,5,3,7,0
LK-1109215,3149,1310,1671,5,140,7,1,15,0
LK-1109220,5113,2182,2694,14,192,8,7,16,0
LK-1109225,5512,2359,2901,66,147,9,11,19,0
LK-1109230,2607,1105,1345,8,129,7,5,8,0
LK-1109235,5076,2064,2720,75,182,16,6,13,0
LK-1109240,2208,890,1177,8,98,12,4,19,0
LK-1109245,2354,993,1240,16,89,3,4,9,0
LK-1109250,3057,1266,1523,118,129,4,4,13,0
LK-1109255,1580,647,840,22,64,3,3,1,0
LK-1109260,2014,864,1046,1,84,7,3,9,0
LK-1109265,4442,1863,2326,29,180,24,3,17,0
LK-1109270,3136,1287,1674,9,137,11,4,14,0
LK-1109275,4725,2003,2573,4,119,12,3,11,0
LK-1109280,5548,2337,3018,19,140,13,0,21,0
LK-1109285,3718,1558,1983,9,143,9,4,12,0
LK-1112,237905,100595,124465,2628,8561,439,324,893,0
LK-1112005,7292,3111,3887,21,229,14,16,14,0
LK-1112010,1484,645,749,29,44,3,1,13,0
LK-1112015,1501,653,781,3,50,3,1,10,0
LK-1112020,1921,816,971,19,106,7,0,2,0
LK-1112025,1771,761,859,38,102,1,4,6,0
LK-1112030,1654,698,881,5,63,0,0,7,0
LK-1112035,3005,1279,1339,253,118,4,1,11,0
LK-1112040,3022,1301,1604,20,81,2,1,13,0
LK-1112045,2723,1172,1392,9,132,5,2,11,0
LK-1112050,1256,523,688,29,15,0,1,0,0
LK-1112055,3142,1303,1635,15,158,7,6,18,0
LK-1112060,2406,982,1125,174,96,7,7,15,0
LK-1112065,1755,731,941,1,72,4,1,5,0
LK-1112070,6703,2911,3228,327,185,12,12,28,0
LK-1112075,3060,1324,1493,79,141,4,2,17,0
LK-1112080,4725,2032,2449,49,151,6,9,29,0
LK-1112085,4165,1768,2067,125,176,6,6,17,0
LK-1112090,2105,879,1094,30,97,3,1,1,0
LK-1112095,1403,553,761,26,54,1,4,4,0
LK-1112100,3070,1239,1545,115,162,3,2,4,0
LK-1112105,1400,745,643,8,4,0,0,0,0
LK-1112110,3064,1265,1579,103,101,5,4,7,0
LK-1112115,1800,723,947,6,108,5,2,9,0
LK-1112120,3240,1367,1433,271,134,7,4,24,0
LK-1112125,3128,1305,1730,6,70,5,2,10,0
LK-1112130,3525,1426,1940,9,125,11,5,9,0
LK-1112135,2873,1282,1426,32,109,7,6,11,0
LK-1112140,2207,944,1199,28,28,5,0,3,0
LK-1112145,3062,1344,1573,15,118,8,1,3,0
LK-1112150,3154,1310,1743,9,59,8,12,13,0
LK-1112155,3867,1605,2029,18,185,8,6,16,0
LK-1112160,2035,829,1145,0,48,8,2,3,0
LK-1112165,6457,2796,3269,86,254,7,11,34,0
LK-1112170,4701,1984,2502,13,173,6,4,19,0
LK-1112175,2771,1131,1549,80,3,0,4,4,0
LK-1112180,3332,1380,1795,17,120,3,3,14,0
LK-1112185,2472,1047,1333,3,73,5,7,4,0
LK-1112190,4223,1887,2271,8,42,7,4,4,0
LK-1112195,3360,1359,1825,6,146,10,3,11,0
LK-1112200,3845,1804,1827,105,89,8,2,10,0
LK-1112205,4467,1887,2385,28,139,6,9,13,0
LK-1112210,2983,1279,1608,13,60,9,3,11,0
LK-1112215,1581,672,807,0,86,6,2,8,0
LK-1112220,2429,1011,1263,15,116,7,6,11,0
LK-1112225,2452,974,1362,19,86,1,3,7,0
LK-1112230,4931,2043,2704,8,151,13,5,7,0
LK-1112235,1894,773,1004,2,92,9,5,9,0
LK-1112240,3594,1598,1864,5,99,8,5,15,0
LK-1112245,4655,2017,2411,24,157,13,8,25,0
LK-1112250,3278,1377,1731,11,111,9,5,34,0
LK-1112255,2502,1033,1313,4,125,7,6,14,0
LK-1112260,4039,1676,2083,15,218,10,12,25,0
LK-1112265,3192,1380,1699,9,91,3,1,9,0
LK-1112270,2679,1098,1443,4,119,3,4,8,0
LK-1112275,3762,1589,1937,30,173,11,8,14,0
LK-1112280,2127,854,1148,0,106,6,4,9,0
LK-1112285,2888,1205,1574,26,67,4,2,10,0
LK-1112290,3981,1680,2102,16,152,10,7,14,0
LK-1112295,1529,624,821,12,59,2,5,6,0
LK-1112300,1942,803,989,12,118,3,8,9,0
LK-1112305,3189,1309,1752,6,105,13,1,3,0
LK-1112310,2968,1199,1612,7,128,5,7,10,0
LK-1112315,4087,1703,2286,19,71,5,1,2,0
LK-1112320,3087,1304,1671,11,79,3,7,12,0
LK-1112325,2129,894,1160,1,59,3,3,9,0
LK-1112330,1843,750,978,2,102,4,4,3,0
LK-1112335,1695,723,895,3,63,1,3,7,0
LK-1112340,3225,1384,1651,23,137,4,6,20,0
LK-1112345,2850,1158,1559,3,120,4,0,6,0
LK-1112350,2091,871,1134,13,68,0,1,4,0
LK-1112355,2497,1072,1318,7,77,2,3,18,0
LK-1112360,3189,1302,1756,15,95,7,2,12,0
LK-1112365,2681,1096,1498,2,76,0,1,8,0
LK-1112370,2131,917,1147,2,58,3,0,4,0
LK-1112375,3073,1393,1561,15,94,7,0,3,0
LK-1112380,1315,561,665,2,73,4,2,8,0
LK-1112385,1977,802,1055,9,100,4,1,6,0
LK-1112390,2044,850,1049,12,116,5,2,10,0
LK-1112395,954,391,526,3,26,0,3,5,0
LK-1112400,2418,1033,1219,13,132,3,4,14,0
LK-1112405,4878,2096,2478,17,236,7,6,38,0
LK-1115,113807,49590,57478,1583,4077,226,183,670,0
LK-1115005,1700,710,884,8,78,3,5,12,0
LK-1115010,1799,743,893,32,107,7,1,16,0
LK-1115015,1080,419,549,20,71,9,0,12,0
LK-1115020,598,236,324,9,23,4,1,1,0
LK-1115025,2048,832,1085,26,67,11,7,20,0
LK-1115030,3356,1531,1577,51,177,7,0,13,0
LK-1115035,1689,775,862,10,32,5,1,4,0
LK-1115040,815,369,396,5,39,1,0,5,0
LK-1115045,2316,1127,1127,15,34,3,1,9,0
LK-1115050,2333,1148,1128,10,39,3,3,2,0
LK-1115055,2649,1259,1261,19,82,9,12,7,0
LK-1115060,2001,989,997,4,7,1,3,0,0
LK-1115065,1631,681,830,33,71,3,5,8,0
LK-1115070,2664,1162,1434,4,54,1,3,6,0
LK-1115075,1385,575,728,7,60,7,1,7,0
LK-1115080,1076,428,601,5,32,2,1,7,0
LK-1115085,1195,509,612,1,63,5,0,5,0
LK-1115090,1152,490,607,41,7,1,1,5,0
LK-1115095,1431,614,725,18,61,5,2,6,0
LK-1115100,2464,1077,1213,15,117,4,9,29,0
LK-1115105,1959,820,1030,4,87,5,4,9,0
LK-1115110,1830,797,955,10,54,1,5,8,0
LK-1115115,1307,516,731,2,50,2,3,3,0
LK-1115120,2095,879,1140,12,49,3,4,8,0
LK-1115125,1837,791,850,96,73,2,3,22,0
LK-1115130,2138,1017,955,79,68,3,2,14,0
LK-1115135,1725,803,790,14,94,11,0,13,0
LK-1115140,1877,886,934,10,28,3,3,13,0
LK-1115145,2964,1355,1529,8,55,4,4,9,0
LK-1115150,3837,1727,2042,13,46,2,0,7,0
LK-1115155,1307,577,625,14,76,4,3,8,0
LK-1115160,1301,541,696,10,50,1,0,3,0
LK-1115165,1893,826,934,25,91,3,3,11,0
LK-1115170,2099,879,1123,25,53,3,1,15,0
LK-1115175,1451,604,750,4,71,3,2,17,0
LK-1115180,2033,849,1139,11,27,1,2,4,0
LK-1115185,3559,1502,1623,330,71,1,7,25,0
LK-1115190,928,407,511,0,10,0,0,0,0
LK-1115195,1339,528,708,27,62,0,0,14,0
LK-1115200,1492,653,731,12,76,2,3,15,0
LK-1115205,2989,1395,1388,83,101,8,3,11,0
LK-1115210,1510,655,797,12,29,2,1,14,0
LK-1115215,1681,749,808,2,105,4,3,10,0
LK-1115220,1173,475,559,46,79,1,1,12,0
LK-1115225,1732,711,899,43,63,2,7,7,0
LK-1115230,1322,616,591,22,71,5,4,13,0
LK-1115235,1478,664,721,18,54,3,3,15,0
LK-1115240,2146,911,1061,73,66,3,6,26,0
LK-1115245,1128,467,566,1,80,3,6,5,0
LK-1115250,1512,607,793,13,90,2,2,5,0
LK-1115255,1627,707,822,12,65,2,4,15,0
LK-1115260,666,283,330,2,46,0,3,2,0
LK-1115265,1717,721,861,23,83,2,3,24,0
LK-1115270,1041,431,521,11,66,0,8,4,0
LK-1115275,1857,798,948,9,88,6,3,5,0
LK-1115280,1717,712,911,46,33,2,1,12,0
LK-1115285,2807,1221,1454,12,94,9,5,12,0
LK-1115290,868,386,453,8,10,1,0,10,0
LK-1115295,1233,540,581,7,76,5,3,21,0
LK-1115300,606,255,316,8,21,2,1,3,0
LK-1115305,533,238,243,14,29,1,0,8,0
LK-1115310,708,300,337,19,36,2,1,13,0
LK-1115315,767,324,416,6,17,4,0,0,0
LK-1115320,744,309,427,3,0,0,2,3,0
LK-1115325,1289,544,674,18,43,3,2,5,0
LK-1115330,1713,734,897,15,57,0,2,8,0
LK-1115335,1976,819,1030,8,103,8,1,7,0
LK-1115340,914,387,445,10,60,1,3,8,0
LK-1118,65267,27071,33603,1031,2959,139,95,369,0
LK-1118005,845,343,426,5,63,1,0,7,0
LK-1118010,1518,612,659,132,99,4,2,10,0
LK-1118015,857,357,431,8,49,4,1,7,0
LK-1118020,1789,745,914,7,93,7,3,20,0
LK-1118025,794,340,402,9,31,2,1,9,0
LK-1118030,970,384,512,7,46,3,0,18,0
LK-1118035,1891,796,956,15,106,5,1,12,0
LK-1118040,1074,452,537,4,68,2,2,9,0
LK-1118045,727,302,397,3,20,0,0,5,0
LK-1118050,1339,567,648,71,48,3,1,1,0
LK-1118055,1878,765,981,12,104,3,3,10,0
LK-1118060,707,293,382,0,29,1,2,0,0
LK-1118065,1438,573,801,2,47,6,2,7,0
LK-1118070,1332,565,697,16,43,4,0,7,0
LK-1118075,2790,1180,1472,6,97,12,8,15,0
