ID,FIELD-0000,FIELD-0001,FIELD-0002,FIELD-0003
LK-2136115,315,311,3,1
LK-2136120,212,209,3,0
LK-2136125,300,299,1,0
LK-2136130,213,211,2,0
LK-2136135,470,468,2,0
LK-2136140,235,234,1,0
LK-2136145,161,157,4,0
LK-2136150,226,224,2,0
LK-2136155,206,205,1,0
LK-2136160,326,323,3,0
LK-2136165,160,158,2,0
LK-2136170,419,417,2,0
LK-2136175,185,183,2,0
LK-2136180,149,147,2,0
LK-2136185,171,169,2,0
LK-2136190,154,151,3,0
LK-2136195,184,182,2,0
LK-2136200,293,291,2,0
LK-2136205,254,252,2,0
LK-2136210,253,250,3,0
LK-2136215,193,191,2,0
LK-2136220,357,355,2,0
LK-2136225,465,462,3,0
LK-2136230,413,410,3,0
LK-2136235,359,357,2,0
LK-2136240,151,149,2,0
LK-2136245,296,293,2,1
LK-2136250,275,272,3,0
LK-2136255,321,318,2,1
LK-2136260,428,427,1,0
LK-2136265,303,301,2,0
LK-2136270,520,517,2,1
LK-2136275,234,230,4,0
LK-2136280,360,356,3,1
LK-2136285,285,282,2,1
LK-2136290,365,361,2,2
LK-2136295,290,288,2,0
LK-2136300,222,220,2,0
LK-2136305,498,497,1,0
LK-2136310,175,174,1,0
LK-2136315,158,157,1,0
LK-2136320,219,217,2,0
LK-2136325,253,251,2,0
LK-2136330,117,116,1,0
LK-2136335,223,221,2,0
LK-2136340,232,229,3,0
LK-2136345,234,232,2,0
LK-2136350,239,237,1,1
LK-2136355,291,290,1,0
LK-2136360,209,207,2,0
LK-2136365,362,360,2,0
LK-2136370,310,306,4,0
LK-2136375,287,284,2,1
LK-2136380,317,315,2,0
LK-2136385,277,274,3,0
LK-2136390,375,371,4,0
LK-2136395,932,926,6,0
LK-2136400,428,424,3,1
LK-2136405,432,430,2,0
LK-2136410,561,560,1,0
LK-2136415,611,607,4,0
LK-2136420,376,343,25,8
LK-2136425,345,339,6,0
LK-2136430,474,464,10,0
LK-2136435,447,444,3,0
LK-2136440,662,659,3,0
LK-2136445,497,496,1,0
LK-2136450,436,435,1,0
LK-2136455,451,446,1,4
LK-2136460,612,602,4,6
LK-2136465,317,310,6,1
LK-2136470,581,573,8,0
LK-2136475,283,272,5,6
LK-2139,30190,29874,296,20
LK-2139005,172,171,1,0
LK-2139010,262,260,2,0
LK-2139015,187,185,2,0
LK-2139020,179,178,1,0
LK-2139025,262,261,1,0
LK-2139030,250,249,1,0
LK-2139035,299,296,3,0
LK-2139040,260,258,1,1
LK-2139045,253,252,1,0
LK-2139050,372,369,3,0
LK-2139055,352,348,4,0
LK-2139060,453,449,4,0
LK-2139065,288,283,3,2
LK-2139070,216,214,2,0
LK-2139075,226,222,4,0
LK-2139080,236,234,2,0
LK-2139085,157,156,1,0
LK-2139090,167,164,3,0
LK-2139095,181,180,1,0
LK-2139100,214,211,3,0
LK-2139105,225,222,3,0
LK-2139110,186,184,2,0
LK-2139115,346,344,2,0
LK-2139120,224,221,3,0
LK-2139125,320,316,4,0
LK-2139130,315,307,8,0
LK-2139135,191,170,19,2
LK-2139140,283,281,2,0
LK-2139145,318,305,13,0
LK-2139150,338,336,2,0
LK-2139155,326,315,11,0
LK-2139160,271,269,2,0
LK-2139165,239,238,1,0
LK-2139170,200,198,2,0
LK-2139175,211,209,2,0
LK-2139180,191,189,1,1
LK-2139185,206,204,2,0
LK-2139190,163,162,1,0
LK-2139195,200,199,1,0
LK-2139200,159,157,2,0
LK-2139205,171,170,1,0
LK-2139210,152,151,1,0
LK-2139215,194,191,3,0
LK-2139220,271,268,3,0
LK-2139225,136,134,2,0
LK-2139230,274,270,4,0
LK-2139235,203,202,1,0
LK-2139240,199,196,3,0
LK-2139245,152,148,4,0
LK-2139250,249,246,3,0
LK-2139255,266,264,2,0
LK-2139260,206,204,2,0
LK-2139265,206,203,3,0
LK-2139270,199,197,2,0
LK-2139275,205,204,1,0
LK-2139280,201,199,2,0
LK-2139285,212,211,1,0
LK-2139290,214,212,2,0
LK-2139295,262,261,1,0
LK-2139300,250,247,3,0
LK-2139305,228,225,3,0
LK-2139310,246,244,1,1
LK-2139315,465,462,3,0
LK-2139320,307,304,3,0
LK-2139325,184,182,2,0
LK-2139330,137,135,2,0
LK-2139335,233,231,2,0
LK-2139340,294,292,2,0
LK-2139345,335,332,2,1
LK-2139350,213,211,2,0
LK-2139355,163,159,4,0
LK-2139360,129,128,1,0
LK-2139365,210,207,3,0
LK-2139370,76,75,1,0
LK-2139375,216,213,2,1
LK-2139380,241,241,0,0
LK-2139385,286,285,1,0
LK-2139390,202,201,1,0
LK-2139395,226,225,1,0
LK-2139400,387,384,2,1
LK-2139405,263,261,2,0
LK-2139410,246,245,1,0
LK-2139415,409,407,2,0
LK-2139420,328,320,8,0
LK-2139425,209,207,2,0
LK-2139430,289,287,2,0
LK-2139435,257,255,1,1
LK-2139440,301,300,1,0
LK-2139445,398,397,1,0
LK-2139450,276,274,2,0
LK-2139455,259,254,5,0
LK-2139460,200,199,1,0
LK-2139465,144,143,1,0
LK-2139470,313,311,2,0
LK-2139475,140,138,2,0
LK-2139480,153,151,2,0
LK-2139485,208,207,1,0
LK-2139490,224,219,5,0
LK-2139495,465,462,2,1
LK-2139500,265,265,0,0
LK-2139505,511,508,3,0
LK-2139510,198,194,4,0
LK-2139515,375,374,1,0
LK-2139520,185,184,1,0
LK-2139525,217,214,3,0
LK-2139530,190,189,1,0
LK-2139535,230,228,2,0
LK-2139540,223,222,1,0
LK-2139545,231,230,1,0
LK-2139550,303,299,3,1
LK-2139555,168,166,2,0
LK-2139560,278,277,1,0
LK-2139565,341,338,2,1
LK-2139570,260,253,4,3
LK-2139575,442,439,3,0
LK-2139580,206,204,2,0
LK-2139585,182,181,1,0
LK-2139590,296,295,1,0
LK-2139595,231,228,3,0
LK-2139600,173,172,1,0
LK-2139605,111,110,1,0
LK-2139610,122,121,1,0
LK-2139615,279,276,2,1
LK-2139620,193,190,1,2
LK-2142,14840,14740,99,1
LK-2142005,573,570,3,0
LK-2142010,440,434,6,0
LK-2142015,528,525,3,0
LK-2142020,397,395,2,0
LK-2142025,463,457,6,0
LK-2142030,332,329,3,0
LK-2142035,341,339,2,0
LK-2142040,652,646,6,0
LK-2142045,505,500,5,0
LK-2142050,857,852,5,0
LK-2142055,371,368,3,0
LK-2142060,455,452,3,0
LK-2142065,377,374,3,0
LK-2142070,292,290,2,0
LK-2142075,486,483,3,0
LK-2142080,317,316,1,0
LK-2142085,560,557,2,1
LK-2142090,538,534,4,0
LK-2142095,266,263,3,0
LK-2142100,321,319,2,0
LK-2142105,347,345,2,0
LK-2142110,380,379,1,0
LK-2142115,428,424,4,0
LK-2142120,238,235,3,0
LK-2142125,324,321,3,0
LK-2142130,516,513,3,0
LK-2142135,321,318,3,0
LK-2142140,262,261,1,0
LK-2142145,269,267,2,0
LK-2142150,480,478,2,0
LK-2142155,299,297,2,0
LK-2142160,1491,1486,5,0
LK-2142165,414,413,1,0
LK-2145,16941,16766,163,12
LK-2145005,366,365,1,0
LK-2145010,198,196,2,0
LK-2145015,363,361,2,0
LK-2145020,441,437,4,0
LK-2145025,171,168,2,1
LK-2145030,174,172,2,0
LK-2145035,228,227,1,0
LK-2145040,271,269,2,0
LK-2145045,180,178,2,0
LK-2145050,236,235,1,0
LK-2145055,212,209,3,0
LK-2145060,215,213,2,0
LK-2145065,448,443,5,0
LK-2145070,130,127,2,1
LK-2145075,152,148,2,2
LK-2145080,203,201,2,0
LK-2145085,358,355,3,0
LK-2145090,184,180,1,3
LK-2145095,264,263,1,0
LK-2145100,159,156,3,0
LK-2145105,188,187,1,0
LK-2145110,210,208,2,0
LK-2145115,160,159,1,0
LK-2145120,187,177,10,0
LK-2145125,167,166,1,0
LK-2145130,485,481,3,1
LK-2145135,337,334,3,0
LK-2145140,591,587,4,0
LK-2145145,120,113,7,0
LK-2145150,251,250,1,0
LK-2145155,253,252,1,0
LK-2145160,292,290,2,0
LK-2145165,266,264,2,0
LK-2145170,345,344,1,0
LK-2145175,237,234,3,0
LK-2145180,188,186,2,0
LK-2145185,131,129,2,0
LK-2145190,183,179,4,0
LK-2145195,197,194,3,0
LK-2145200,182,181,1,0
LK-2145205,139,137,2,0
LK-2145210,197,196,1,0
LK-2145215,333,328,5,0
LK-2145220,410,405,5,0
LK-2145225,270,265,5,0
LK-2145230,136,134,2,0
LK-2145235,232,231,1,0
LK-2145240,169,168,1,0
LK-2145245,153,151,2,0
LK-2145250,173,171,2,0
LK-2145255,216,214,1,1
LK-2145260,316,313,3,0
LK-2145265,266,264,2,0
LK-2145270,225,222,3,0
LK-2145275,168,165,2,1
LK-2145280,130,129,1,0
LK-2145285,311,310,1,0
LK-2145290,157,156,1,0
LK-2145295,346,345,1,0
LK-2145300,256,253,3,0
LK-2145305,190,189,1,0
LK-2145310,190,189,1,0
LK-2145315,223,220,2,1
LK-2145320,186,184,2,0
LK-2145325,134,133,1,0
LK-2145330,267,265,2,0
LK-2145335,231,229,2,0
LK-2145340,199,196,2,1
LK-2145345,134,132,2,0
LK-2145350,171,168,3,0
LK-2145355,134,133,1,0
LK-2145360,168,167,1,0
LK-2145365,188,186,2,0
LK-2148,9050,8987,59,4
LK-2148005,670,668,2,0
LK-2148010,309,307,2,0
LK-2148015,335,333,2,0
LK-2148020,1079,1075,4,0
LK-2148025,533,529,4,0
LK-2148030,733,731,2,0
LK-2148035,343,342,1,0
LK-2148040,191,190,1,0
LK-2148045,319,317,2,0
LK-2148050,156,156,0,0
LK-2148055,299,296,3,0
LK-2148060,191,191,0,0
LK-2148065,306,304,2,0
LK-2148070,386,383,2,1
LK-2148075,663,659,4,0
LK-2148080,70,68,2,0
LK-2148085,198,195,3,0
LK-2148090,302,300,2,0
LK-2148095,198,194,4,0
LK-2148100,124,123,1,0
LK-2148105,146,145,1,0
LK-2148110,174,170,3,1
LK-2148115,117,116,1,0
LK-2148120,184,182,2,0
LK-2148125,135,134,1,0
LK-2148130,91,89,2,0
LK-2148135,138,136,2,0
LK-2148140,335,333,2,0
LK-2148145,325,321,2,2
LK-2151,26104,25944,136,24
LK-2151005,943,942,1,0
LK-2151010,523,519,4,0
LK-2151015,644,639,4,1
LK-2151020,318,317,1,0
LK-2151025,265,264,1,0
LK-2151030,258,256,2,0
LK-2151035,345,343,2,0
LK-2151040,356,355,1,0
LK-2151045,334,332,2,0
LK-2151050,418,416,2,0
LK-2151055,347,345,2,0
LK-2151060,831,828,3,0
LK-2151065,650,649,1,0
LK-2151070,564,561,2,1
LK-2151075,477,474,3,0
LK-2151080,330,328,2,0
LK-2151085,372,370,2,0
LK-2151090,552,537,6,9
LK-2151095,539,538,1,0
LK-2151100,685,680,4,1
LK-2151105,517,516,1,0
LK-2151110,476,464,7,5
LK-2151115,607,604,3,0
LK-2151120,208,205,3,0
LK-2151125,527,525,2,0
LK-2151130,449,444,5,0
LK-2151135,420,418,1,1
LK-2151140,498,497,1,0
LK-2151145,454,451,3,0
LK-2151150,314,312,2,0
LK-2151155,376,375,1,0
LK-2151160,241,240,1,0
LK-2151165,636,630,6,0
LK-2151170,192,190,2,0
LK-2151175,428,425,3,0
LK-2151180,783,779,4,0
LK-2151185,362,359,3,0
LK-2151190,963,957,4,2
LK-2151195,617,613,3,1
LK-2151200,783,782,1,0
LK-2151205,555,548,6,1
LK-2151210,1626,1617,9,0
LK-2151215,510,507,2,1
LK-2151220,275,273,2,0
LK-2151225,1410,1406,3,1
LK-2151230,613,610,3,0
LK-2151235,349,347,2,0
LK-2151240,280,279,1,0
LK-2151245,884,878,6,0
LK-2154,16258,16136,99,23
LK-2154005,337,335,2,0
LK-2154010,244,242,2,0
LK-2154015,696,691,3,2
LK-2154020,802,798,3,1
LK-2154025,736,727,7,2
LK-2154030,581,576,5,0
LK-2154035,686,677,5,4
LK-2154040,284,282,2,0
LK-2154045,522,516,6,0
LK-2154050,553,547,6,0
LK-2154055,673,669,4,0
LK-2154060,386,384,2,0
LK-2154065,349,345,4,0
LK-2154070,547,540,6,1
LK-2154075,411,409,2,0
LK-2154080,647,642,5,0
LK-2154085,193,191,2,0
LK-2154090,496,494,2,0
LK-2154095,356,355,1,0
LK-2154100,316,313,2,1
LK-2154105,479,477,2,0
LK-2154110,696,692,4,0
LK-2154115,662,658,2,2
LK-2154120,316,315,1,0
LK-2154125,508,502,2,4
LK-2154130,483,481,2,0
LK-2154135,956,953,2,1
LK-2154140,612,605,3,4
LK-2154145,513,510,3,0
LK-2154150,739,735,4,0
LK-2154155,479,475,3,1
LK-2157,17236,17113,101,22
LK-2157005,477,473,3,1
LK-2157010,631,627,3,1
LK-2157015,546,542,4,0
LK-2157020,788,778,6,4
LK-2157025,414,411,3,0
LK-2157030,374,370,4,0
LK-2157035,484,480,4,0
LK-2157040,612,609,3,0
LK-2157045,317,315,2,0
LK-2157050,418,415,2,1
LK-2157055,874,871,2,1
LK-2157060,667,661,4,2
LK-2157065,1072,1061,9,2
LK-2157070,626,610,10,6
LK-2157075,703,699,4,0
LK-2157080,493,489,4,0
LK-2157085,1690,1684,5,1
LK-2157090,689,683,4,2
LK-2157095,373,371,2,0
LK-2157100,429,427,2,0
LK-2157105,358,356,2,0
LK-2157110,276,275,1,0
LK-2157115,375,371,4,0
LK-2157120,701,697,4,0
LK-2157125,873,873,0,0
LK-2157130,215,213,2,0
LK-2157135,303,301,2,0
LK-2157140,599,594,4,1
LK-2157145,859,857,2,0
LK-22,145745,144091,1434,220
LK-2203,21499,21327,157,15
LK-2203005,426,425,1,0
LK-2203010,346,343,3,0
LK-2203015,238,236,2,0
LK-2203020,345,341,4,0
LK-2203025,584,581,3,0
LK-2203030,214,211,2,1
LK-2203035,422,420,2,0
LK-2203040,616,615,1,0
LK-2203045,783,780,3,0
LK-2203050,434,430,4,0
LK-2203055,327,323,3,1
LK-2203060,351,348,2,1
LK-2203065,396,392,4,0
LK-2203070,546,544,2,0
LK-2203075,320,318,2,0
LK-2203080,269,268,1,0
LK-2203085,279,276,3,0
LK-2203090,227,225,2,0
LK-2203095,451,447,4,0
LK-2203100,256,254,2,0
LK-2203105,666,661,5,0
LK-2203110,384,381,3,0
LK-2203115,510,506,2,2
LK-2203120,304,302,2,0
LK-2203125,448,445,3,0
LK-2203130,333,330,3,0
LK-2203135,355,352,2,1
LK-2203140,427,424,3,0
LK-2203145,192,191,1,0
LK-2203150,261,260,1,0
LK-2203155,388,380,4,4
LK-2203160,327,324,3,0
LK-2203165,496,494,2,0
LK-2203170,329,325,4,0
LK-2203175,374,372,2,0
LK-2203180,421,407,14,0
LK-2203185,607,601,3,3
LK-2203190,348,347,1,0
LK-2203195,372,364,6,2
LK-2203200,410,407,3,0
LK-2203205,283,281,2,0
LK-2203210,306,304,2,0
LK-2203215,248,247,1,0
LK-2203220,360,359,1,0
LK-2203225,456,453,3,0
LK-2203230,344,343,1,0
LK-2203235,357,355,2,0
LK-2203240,262,259,3,0
LK-2203245,240,238,2,0
LK-2203250,197,195,2,0
LK-2203255,337,335,2,0
LK-2203260,247,244,3,0
LK-2203265,380,376,4,0
LK-2203270,207,205,2,0
LK-2203275,277,274,3,0
LK-2203280,335,333,2,0
LK-2203285,260,259,1,0
LK-2203290,319,317,2,0
LK-2203295,302,300,2,0
LK-2206,21739,21254,344,141
LK-2206005,196,195,1,0
LK-2206010,210,204,6,0
LK-2206015,228,227,1,0
LK-2206020,178,173,5,0
LK-2206025,331,321,4,6
LK-2206030,382,379,3,0
LK-2206035,499,466,20,13
LK-2206040,227,224,3,0
LK-2206045,238,234,3,1
LK-2206050,220,214,6,0
LK-2206055,267,262,5,0
LK-2206060,203,197,6,0
LK-2206065,178,170,6,2
LK-2206070,516,506,10,0
LK-2206075,196,194,2,0
LK-2206080,790,783,6,1
LK-2206085,272,269,3,0
LK-2206090,398,389,9,0
LK-2206095,359,350,8,1
LK-2206100,472,470,2,0
LK-2206105,334,329,5,0
LK-2206110,330,327,3,0
LK-2206115,386,382,4,0
LK-2206120,678,652,23,3
LK-2206125,668,654,14,0
LK-2206130,250,245,5,0
LK-2206135,277,275,2,0
LK-2206140,271,268,3,0
LK-2206145,567,558,9,0
LK-2206150,367,365,2,0
LK-2206155,177,173,4,0
LK-2206160,568,563,5,0
LK-2206165,387,361,23,3
LK-2206170,1393,1263,37,93
LK-2206175,298,292,4,2
LK-2206180,445,443,2,0
LK-2206185,702,690,9,3
LK-2206190,532,523,5,4
LK-2206195,754,745,9,0
LK-2206200,322,320,2,0
LK-2206205,251,248,3,0
LK-2206210,134,133,1,0
LK-2206215,423,421,2,0
LK-2206220,220,218,2,0
LK-2206225,431,421,9,1
LK-2206230,340,333,5,2
LK-2206235,308,306,2,0
LK-2206240,253,251,2,0
LK-2206245,234,230,4,0
LK-2206250,253,250,3,0
LK-2206255,223,221,2,0
LK-2206260,528,524,4,0
LK-2206265,187,185,2,0
LK-2206270,396,388,2,6
LK-2206275,142,139,3,0
LK-2206280,445,443,2,0
LK-2206285,280,268,12,0
LK-2206290,353,351,2,0
LK-2206295,272,269,3,0
LK-2209,9491,9360,124,7
LK-2209005,65,65,0,0
LK-2209010,183,180,3,0
LK-2209015,229,222,7,0
LK-2209020,159,156,3,0
LK-2209025,91,90,1,0
LK-2209030,80,78,2,0
LK-2209035,115,113,2,0
LK-2209040,145,143,2,0
LK-2209045,225,223,2,0
LK-2209050,112,110,2,0
LK-2209055,122,119,3,0
LK-2209060,145,143,2,0
LK-2209065,251,250,1,0
LK-2209070,137,134,3,0
LK-2209075,228,226,2,0
LK-2209080,157,155,2,0
LK-2209085,254,251,3,0
LK-2209090,98,93,5,0
LK-2209095,226,225,1,0
LK-2209100,641,632,5,4
LK-2209105,177,175,2,0
LK-2209110,171,170,1,0
LK-2209115,162,160,2,0
LK-2209120,165,163,1,1
LK-2209125,172,170,2,0
LK-2209130,165,164,1,0
LK-2209135,102,100,2,0
LK-2209140,183,181,2,0
LK-2209145,90,89,1,0
LK-2209150,255,253,2,0
LK-2209155,161,160,1,0
LK-2209160,159,156,3,0
LK-2209165,110,106,4,0
LK-2209170,271,269,2,0
LK-2209175,398,389,9,0
LK-2209180,263,256,6,1
LK-2209185,111,109,2,0
LK-2209190,78,77,1,0
LK-2209195,165,164,1,0
LK-2209200,252,250,2,0
LK-2209205,121,120,1,0
LK-2209210,174,172,2,0
LK-2209215,272,270,2,0
LK-2209220,342,338,4,0
LK-2209225,166,165,1,0
LK-2209230,221,218,3,0
LK-2209235,271,268,3,0
LK-2209240,218,216,2,0
LK-2209245,82,81,1,0
LK-2209250,81,80,1,0
LK-2209255,38,37,1,0
LK-2209260,232,226,5,1
LK-2212,9041,8947,90,4
LK-2212005,171,170,1,0
LK-2212010,217,215,2,0
LK-2212015,349,346,3,0
LK-2212020,280,277,3,0
LK-2212025,207,205,2,0
LK-2212030,247,245,1,1
LK-2212035,313,310,3,0
LK-2212040,265,263,2,0
LK-2212045,157,156,1,0
LK-2212050,168,166,2,0
LK-2212055,149,148,1,0
LK-2212060,172,171,1,0
LK-2212065,279,277,2,0
LK-2212070,179,177,2,0
LK-2212075,163,161,2,0
LK-2212080,151,150,1,0
LK-2212085,172,170,2,0
LK-2212090,244,241,3,0
LK-2212095,146,144,2,0
LK-2212100,204,199,5,0
LK-2212105,134,132,2,0
LK-2212110,221,218,2,1
LK-2212115,303,301,2,0
LK-2212120,202,198,4,0
LK-2212125,200,199,1,0
LK-2212130,151,150,1,0
LK-2212135,181,180,1,0
LK-2212140,221,219,2,0
LK-2212145,343,338,5,0
LK-2212150,209,206,3,0
LK-2212155,164,161,3,0
LK-2212160,181,179,2,0
LK-2212165,98,97,1,0
LK-2212170,146,145,1,0
LK-2212175,161,159,2,0
LK-2212180,171,170,1,0
LK-2212185,283,280,2,1
LK-2212190,218,217,1,0
LK-2212195,249,245,3,1
LK-2212200,148,147,1,0
LK-2212205,156,155,1,0
LK-2212210,121,118,3,0
LK-2212215,189,187,2,0
LK-2212220,358,355,3,0
LK-2215,9027,8922,101,4
LK-2215005,231,229,2,0
LK-2215010,180,179,1,0
LK-2215015,196,193,3,0
LK-2215020,149,142,6,1
LK-2215025,435,432,3,0
LK-2215030,373,370,3,0
LK-2215035,104,102,2,0
LK-2215040,108,107,1,0
LK-2215045,150,148,2,0
LK-2215050,226,223,3,0
LK-2215055,105,104,1,0
LK-2215060,76,74,2,0
LK-2215065,100,97,3,0
LK-2215070,231,230,1,0
LK-2215075,270,269,1,0
LK-2215080,130,129,1,0
LK-2215085,177,176,1,0
LK-2215090,148,147,1,0
LK-2215095,232,230,2,0
LK-2215100,128,127,1,0
LK-2215105,139,138,1,0
LK-2215110,182,181,1,0
LK-2215115,155,154,1,0
LK-2215120,319,317,2,0
LK-2215125,148,147,1,0
LK-2215130,402,395,4,3
LK-2215135,147,146,1,0
LK-2215140,163,160,3,0
LK-2215145,172,171,1,0
LK-2215150,88,88,0,0
LK-2215155,185,182,3,0
LK-2215160,132,130,2,0
LK-2215165,111,109,2,0
LK-2215170,153,151,2,0
LK-2215175,146,145,1,0
LK-2215180,199,195,4,0
LK-2215185,108,105,3,0
LK-2215190,163,160,3,0
LK-2215195,134,133,1,0
LK-2215200,136,134,2,0
LK-2215205,94,93,1,0
LK-2215210,130,129,1,0
LK-2215215,166,165,1,0
LK-2215220,153,151,2,0
LK-2215225,117,115,2,0
LK-2215230,111,110,1,0
LK-2215235,91,90,1,0
LK-2215240,70,69,1,0
LK-2215245,92,90,2,0
LK-2215250,102,101,1,0
LK-2215255,122,120,2,0
LK-2215260,149,148,1,0
LK-2215265,108,106,2,0
LK-2215270,148,147,1,0
LK-2215275,129,127,2,0
LK-2215280,114,112,2,0
LK-2218,20750,20574,153,23
LK-2218005,226,223,3,0
LK-2218010,513,502,10,1
LK-2218015,260,257,3,0
LK-2218020,305,303,2,0
LK-2218025,413,407,6,0
LK-2218030,130,128,2,0
LK-2218035,207,205,2,0
LK-2218040,212,211,1,0
LK-2218045,308,306,2,0
LK-2218050,357,354,1,2
LK-2218055,125,124,1,0
LK-2218060,290,289,1,0
LK-2218065,201,199,2,0
LK-2218070,205,203,2,0
LK-2218075,266,262,4,0
LK-2218080,196,194,2,0
LK-2218085,311,307,4,0
LK-2218090,136,135,1,0
LK-2218095,623,621,2,0
LK-2218100,241,238,3,0
LK-2218105,322,321,1,0
LK-2218110,234,233,1,0
LK-2218115,249,247,2,0
LK-2218120,474,470,4,0
LK-2218125,442,439,3,0
LK-2218130,503,497,6,0
LK-2218135,268,266,1,1
LK-2218140,1225,1220,5,0
LK-2218145,236,233,3,0
LK-2218150,883,878,5,0
LK-2218155,985,982,3,0
LK-2218160,584,567,5,12
LK-2218165,494,490,3,1
LK-2218170,253,251,2,0
LK-2218175,326,325,1,0
LK-2218180,596,592,4,0
LK-2218185,511,503,8,0
LK-2218190,1046,1041,3,2
LK-2218195,343,342,1,0
LK-2218200,672,669,3,0
LK-2218205,402,401,1,0
LK-2218210,216,214,2,0
LK-2218215,360,357,3,0
LK-2218220,483,475,5,3
LK-2218225,413,407,6,0
LK-2218230,807,802,5,0
LK-2218235,385,380,5,0
LK-2218240,253,252,1,0
LK-2218245,282,280,2,0
LK-2218250,302,300,2,0
LK-2218255,247,244,2,1
LK-2218260,429,428,1,0
LK-2221,5199,5161,38,0
LK-2221005,263,260,3,0
LK-2221010,505,500,5,0
LK-2221015,193,189,4,0
LK-2221020,307,305,2,0
LK-2221025,202,201,1,0
LK-2221030,192,191,1,0
LK-2221035,242,241,1,0
LK-2221040,75,74,1,0
LK-2221045,193,192,1,0
LK-2221050,151,150,1,0
LK-2221055,282,281,1,0
LK-2221060,535,533,2,0
LK-2221065,377,376,1,0
LK-2221070,132,131,1,0
LK-2221075,199,196,3,0
LK-2221080,391,389,2,0
LK-2221085,355,351,4,0
LK-2221090,225,224,1,0
LK-2221095,175,174,1,0
LK-2221100,205,203,2,0
LK-2224,4065,3987,78,0
LK-2224005,142,141,1,0
LK-2224010,216,215,1,0
LK-2224015,192,191,1,0
LK-2224020,229,227,2,0
LK-2224025,182,177,5,0
LK-2224030,127,124,3,0
LK-2224035,185,181,4,0
LK-2224040,265,264,1,0
LK-2224045,181,178,3,0
LK-2224050,128,123,5,0
LK-2224055,166,164,2,0
LK-2224060,27,26,1,0
LK-2224065,37,36,1,0
LK-2224070,117,114,3,0
LK-2224075,90,89,1,0
LK-2224080,72,68,4,0
LK-2224085,57,55,2,0
LK-2224090,75,73,2,0
LK-2224095,69,65,4,0
LK-2224100,23,22,1,0
LK-2224105,156,151,5,0
LK-2224110,62,61,1,0
LK-2224115,141,136,5,0
LK-2224120,103,102,1,0
LK-2224125,63,62,1,0
LK-2224130,24,24,0,0
LK-2224135,107,105,2,0
LK-2224140,93,92,1,0
LK-2224145,130,129,1,0
LK-2224150,59,59,0,0
LK-2224155,48,46,2,0
LK-2224160,55,54,1,0
LK-2224165,62,59,3,0
LK-2224170,59,57,2,0
LK-2224175,139,136,3,0
LK-2224180,109,107,2,0
LK-2224185,75,74,1,0
LK-2227,9132,9041,90,1
LK-2227005,84,82,2,0
LK-2227010,232,231,1,0
LK-2227015,178,177,1,0
LK-2227020,182,181,1,0
LK-2227025,148,144,4,0
LK-2227030,110,109,1,0
LK-2227035,251,249,2,0
LK-2227040,218,216,2,0
LK-2227045,225,224,1,0
LK-2227050,117,113,4,0
LK-2227055,216,214,2,0
LK-2227060,262,260,2,0
LK-2227065,325,322,3,0
LK-2227070,261,259,2,0
LK-2227075,237,236,1,0
LK-2227080,215,213,2,0
LK-2227085,208,206,2,0
LK-2227090,267,266,1,0
LK-2227095,87,86,1,0
LK-2227100,273,270,3,0
LK-2227105,73,71,2,0
LK-2227110,587,576,11,0
LK-2227115,277,274,3,0
LK-2227120,275,273,2,0
LK-2227125,117,115,2,0
LK-2227130,194,189,5,0
LK-2227135,346,345,1,0
LK-2227140,275,272,3,0
LK-2227145,115,113,2,0
LK-2227150,297,296,1,0
LK-2227155,450,447,3,0
LK-2227160,262,258,3,1
LK-2227165,153,151,2,0
LK-2227170,426,424,2,0
LK-2227175,320,318,2,0
LK-2227180,311,310,1,0
LK-2227185,291,288,3,0
LK-2227190,206,203,3,0
LK-2227195,61,60,1,0
LK-2230,16408,16296,109,3
LK-2230005,244,242,2,0
LK-2230010,243,241,2,0
LK-2230015,381,380,1,0
LK-2230020,408,404,3,1
LK-2230025,332,331,1,0
LK-2230030,382,380,2,0
LK-2230035,537,533,3,1
LK-2230040,239,237,2,0
LK-2230045,292,290,2,0
LK-2230050,242,239,3,0
LK-2230055,252,250,2,0
LK-2230060,363,361,2,0
LK-2230065,273,272,1,0
LK-2230070,283,281,2,0
LK-2230075,269,267,2,0
LK-2230080,180,177,3,0
LK-2230085,311,310,1,0
LK-2230090,526,522,4,0
LK-2230095,257,254,3,0
LK-2230100,384,381,3,0
LK-2230105,253,250,3,0
LK-2230110,289,287,2,0
LK-2230115,799,796,2,1
LK-2230120,331,329,2,0
LK-2230125,257,256,1,0
LK-2230130,199,196,3,0
LK-2230135,164,162,2,0
LK-2230140,252,251,1,0
LK-2230145,407,405,2,0
LK-2230150,308,306,2,0
LK-2230155,241,240,1,0
LK-2230160,401,400,1,0
LK-2230165,184,181,3,0
LK-2230170,256,255,1,0
LK-2230175,163,161,2,0
LK-2230180,163,161,2,0
LK-2230185,214,213,1,0
LK-2230190,221,220,1,0
LK-2230195,299,298,1,0
LK-2230200,444,442,2,0
LK-2230205,300,298,2,0
LK-2230210,283,281,2,0
LK-2230215,161,159,2,0
LK-2230220,269,266,3,0
LK-2230225,466,463,3,0
LK-2230230,287,287,0,0
LK-2230235,322,320,2,0
LK-2230240,401,399,2,0
LK-2230245,412,410,2,0
LK-2230250,136,135,1,0
LK-2230255,151,149,2,0
