ID,FIELD-0000,FIELD-0001,FIELD-0002,FIELD-0003,FIELD-0004,FIELD-0005,FIELD-0006
LK-1327160,398,309,1,87,0,0,1
LK-1327165,629,498,2,128,1,0,0
LK-1327170,736,474,4,254,1,1,2
LK-1327175,818,528,11,273,4,2,0
LK-1327180,209,165,0,42,0,0,2
LK-1327185,530,457,2,69,1,0,1
LK-1327190,511,392,2,111,1,2,3
LK-1327195,384,314,6,61,0,1,2
LK-1327200,406,370,0,36,0,0,0
LK-1327205,284,221,0,62,1,0,0
LK-1327210,532,469,2,60,0,0,1
LK-1327215,258,248,1,9,0,0,0
LK-1327220,385,372,1,12,0,0,0
LK-1327225,169,165,0,4,0,0,0
LK-1330,20709,17589,65,2995,22,4,34
LK-1330005,228,201,0,23,4,0,0
LK-1330010,382,341,2,39,0,0,0
LK-1330015,178,139,0,35,1,0,3
LK-1330020,447,422,3,19,0,0,3
LK-1330025,540,436,3,98,1,0,2
LK-1330030,317,282,0,34,0,0,1
LK-1330035,457,336,5,116,0,0,0
LK-1330040,565,326,1,236,0,1,1
LK-1330045,587,436,3,143,2,0,3
LK-1330050,125,115,0,10,0,0,0
LK-1330055,562,385,2,172,1,1,1
LK-1330060,537,308,0,229,0,0,0
LK-1330065,584,309,1,274,0,0,0
LK-1330070,514,476,0,38,0,0,0
LK-1330075,387,339,3,45,0,0,0
LK-1330080,273,260,0,11,0,0,2
LK-1330085,299,262,0,36,0,0,1
LK-1330090,732,546,4,178,1,0,3
LK-1330095,633,604,0,27,0,0,2
LK-1330100,416,392,2,22,0,0,0
LK-1330105,433,372,0,59,1,0,1
LK-1330110,489,441,1,47,0,0,0
LK-1330115,417,388,0,28,1,0,0
LK-1330120,456,449,2,5,0,0,0
LK-1330125,385,365,1,19,0,0,0
LK-1330130,405,392,2,11,0,0,0
LK-1330135,645,499,6,140,0,0,0
LK-1330140,558,439,1,118,0,0,0
LK-1330145,423,388,1,33,0,1,0
LK-1330150,332,321,0,10,1,0,0
LK-1330155,209,195,1,13,0,0,0
LK-1330160,237,224,0,12,1,0,0
LK-1330165,269,234,1,33,1,0,0
LK-1330170,422,316,3,103,0,0,0
LK-1330175,187,173,0,14,0,0,0
LK-1330180,708,626,1,79,2,0,0
LK-1330185,432,403,4,24,0,0,1
LK-1330190,270,263,0,7,0,0,0
LK-1330195,168,149,0,17,0,0,2
LK-1330200,205,191,1,13,0,0,0
LK-1330205,249,218,0,31,0,0,0
LK-1330210,283,262,0,21,0,0,0
LK-1330215,324,301,2,20,1,0,0
LK-1330220,210,207,0,3,0,0,0
LK-1330225,214,189,1,24,0,0,0
LK-1330230,223,204,0,16,0,0,3
LK-1330235,274,249,0,24,0,0,1
LK-1330240,540,412,4,120,2,1,1
LK-1330245,148,142,0,6,0,0,0
LK-1330250,146,140,0,6,0,0,0
LK-1330255,233,215,1,16,0,0,1
LK-1330260,256,248,0,8,0,0,0
LK-1330265,330,299,0,28,2,0,1
LK-1330270,173,146,0,27,0,0,0
LK-1330275,287,243,1,43,0,0,0
LK-1330280,192,162,2,27,0,0,1
LK-1330285,214,209,0,5,0,0,0
LK-1333,9649,8768,28,840,2,4,7
LK-1333005,364,354,0,10,0,0,0
LK-1333010,420,375,2,43,0,0,0
LK-1333015,254,245,0,9,0,0,0
LK-1333020,157,157,0,0,0,0,0
LK-1333025,269,267,0,2,0,0,0
LK-1333030,414,392,1,20,0,0,1
LK-1333035,211,208,0,3,0,0,0
LK-1333040,306,290,2,14,0,0,0
LK-1333045,431,419,0,12,0,0,0
LK-1333050,499,342,3,153,0,1,0
LK-1333055,411,385,2,23,0,0,1
LK-1333060,213,203,2,8,0,0,0
LK-1333065,229,163,0,66,0,0,0
LK-1333070,365,293,0,72,0,0,0
LK-1333075,370,335,2,30,1,0,2
LK-1333080,414,334,1,79,0,0,0
LK-1333085,389,306,0,82,0,1,0
LK-1333090,327,301,1,25,0,0,0
LK-1333095,87,83,0,4,0,0,0
LK-1333100,143,127,1,15,0,0,0
LK-1333105,255,228,2,25,0,0,0
LK-1333110,428,389,1,38,0,0,0
LK-1333115,204,200,1,2,0,0,1
LK-1333120,178,178,0,0,0,0,0
LK-1333125,262,254,3,4,1,0,0
LK-1333130,203,191,2,9,0,1,0
LK-1333135,291,281,0,10,0,0,0
LK-1333140,184,178,0,6,0,0,0
LK-1333145,187,177,0,10,0,0,0
LK-1333150,241,221,0,20,0,0,0
LK-1333155,236,211,0,24,0,1,0
LK-1333160,192,179,0,13,0,0,0
LK-1333165,313,307,0,4,0,0,2
LK-1333170,202,195,2,5,0,0,0
LK-1336,13675,13061,20,574,6,1,13
LK-1336005,163,162,0,1,0,0,0
LK-1336010,235,235,0,0,0,0,0
LK-1336015,245,243,0,2,0,0,0
LK-1336020,217,215,1,1,0,0,0
LK-1336025,288,281,0,6,0,0,1
LK-1336030,439,426,2,11,0,0,0
LK-1336035,395,394,0,1,0,0,0
LK-1336040,545,537,1,7,0,0,0
LK-1336045,487,472,4,11,0,0,0
LK-1336050,160,160,0,0,0,0,0
LK-1336055,275,272,1,2,0,0,0
LK-1336060,351,339,0,12,0,0,0
LK-1336065,328,322,0,6,0,0,0
LK-1336070,228,225,0,3,0,0,0
LK-1336075,637,598,1,38,0,0,0
LK-1336080,474,456,0,16,2,0,0
LK-1336085,381,358,0,21,0,0,2
LK-1336090,251,213,1,37,0,0,0
LK-1336095,113,91,1,21,0,0,0
LK-1336100,346,332,0,14,0,0,0
LK-1336105,246,227,0,18,0,0,1
LK-1336110,392,316,1,74,0,1,0
LK-1336115,492,404,1,83,3,0,1
LK-1336120,535,459,2,67,0,0,7
LK-1336125,334,309,0,25,0,0,0
LK-1336130,373,367,0,6,0,0,0
LK-1336135,173,169,0,4,0,0,0
LK-1336140,326,325,0,1,0,0,0
LK-1336145,242,240,0,2,0,0,0
LK-1336150,308,307,0,1,0,0,0
LK-1336155,462,439,0,23,0,0,0
LK-1336160,208,204,0,3,0,0,1
LK-1336165,275,262,0,13,0,0,0
LK-1336170,178,175,0,3,0,0,0
LK-1336175,159,158,1,0,0,0,0
LK-1336180,337,327,1,9,0,0,0
LK-1336185,181,180,0,0,1,0,0
LK-1336190,307,302,0,5,0,0,0
LK-1336195,255,254,0,1,0,0,0
LK-1336200,32,32,0,0,0,0,0
LK-1336205,338,332,0,6,0,0,0
LK-1336210,104,103,1,0,0,0,0
LK-1336215,860,839,1,20,0,0,0
LK-1339,14659,13917,28,688,6,4,16
LK-1339005,223,222,0,1,0,0,0
LK-1339010,300,280,1,19,0,0,0
LK-1339015,148,136,1,11,0,0,0
LK-1339020,106,101,0,5,0,0,0
LK-1339025,236,229,0,7,0,0,0
LK-1339030,304,300,0,3,0,0,1
LK-1339035,326,302,1,19,0,0,4
LK-1339040,426,358,0,68,0,0,0
LK-1339045,289,259,1,29,0,0,0
LK-1339050,226,221,0,5,0,0,0
LK-1339055,357,319,1,37,0,0,0
LK-1339060,281,248,1,32,0,0,0
LK-1339065,244,234,2,8,0,0,0
LK-1339070,170,169,0,1,0,0,0
LK-1339075,226,214,3,9,0,0,0
LK-1339080,190,187,0,3,0,0,0
LK-1339085,232,228,1,3,0,0,0
LK-1339090,252,242,1,9,0,0,0
LK-1339095,233,223,0,9,1,0,0
LK-1339100,279,263,0,15,0,0,1
LK-1339105,224,213,0,11,0,0,0
LK-1339110,265,253,0,11,0,1,0
LK-1339115,172,159,0,12,0,1,0
LK-1339120,180,163,0,16,0,0,1
LK-1339125,183,165,0,13,0,2,3
LK-1339130,336,313,1,21,0,0,1
LK-1339135,222,221,0,1,0,0,0
LK-1339140,164,161,1,2,0,0,0
LK-1339145,242,222,0,20,0,0,0
LK-1339150,336,314,0,20,1,0,1
LK-1339155,237,228,0,9,0,0,0
LK-1339160,253,253,0,0,0,0,0
LK-1339165,356,351,2,2,0,0,1
LK-1339170,347,342,0,5,0,0,0
LK-1339175,212,208,0,4,0,0,0
LK-1339180,195,187,1,7,0,0,0
LK-1339185,263,210,6,47,0,0,0
LK-1339190,356,332,0,23,0,0,1
LK-1339195,204,186,0,18,0,0,0
LK-1339200,162,147,0,15,0,0,0
LK-1339205,198,191,0,7,0,0,0
LK-1339210,171,163,1,6,0,0,1
LK-1339215,255,246,0,9,0,0,0
LK-1339220,126,123,1,2,0,0,0
LK-1339225,233,221,0,12,0,0,0
LK-1339230,254,243,0,10,0,0,1
LK-1339235,272,267,0,5,0,0,0
LK-1339240,222,218,0,4,0,0,0
LK-1339245,180,174,0,6,0,0,0
LK-1339250,194,172,0,22,0,0,0
LK-1339255,348,338,0,10,0,0,0
LK-1339260,429,405,0,23,1,0,0
LK-1339265,219,215,0,4,0,0,0
LK-1339270,310,307,1,2,0,0,0
LK-1339275,133,124,0,7,2,0,0
LK-1339280,325,323,0,2,0,0,0
LK-1339285,253,251,1,0,1,0,0
LK-1339290,209,208,0,1,0,0,0
LK-1339295,140,140,0,0,0,0,0
LK-1339300,231,225,0,6,0,0,0
LK-2,658911,555576,7809,92938,1581,238,769
LK-21,348019,281035,3793,61823,765,120,483
LK-2103,9926,9137,16,749,15,1,8
LK-2103005,185,181,0,4,0,0,0
LK-2103010,138,134,0,2,2,0,0
LK-2103015,165,164,0,0,0,0,1
LK-2103020,108,107,0,1,0,0,0
LK-2103025,137,135,0,2,0,0,0
LK-2103030,142,139,0,3,0,0,0
LK-2103035,78,77,0,1,0,0,0
LK-2103040,121,116,0,4,1,0,0
LK-2103045,212,178,1,32,1,0,0
LK-2103050,80,76,0,3,0,0,1
LK-2103055,116,116,0,0,0,0,0
LK-2103060,165,151,0,11,1,0,2
LK-2103065,213,198,0,14,0,0,1
LK-2103070,89,83,0,6,0,0,0
LK-2103075,189,178,0,11,0,0,0
LK-2103080,114,107,0,7,0,0,0
LK-2103085,194,185,1,7,0,0,1
LK-2103090,220,205,3,12,0,0,0
LK-2103095,180,175,0,5,0,0,0
LK-2103100,267,183,1,83,0,0,0
LK-2103105,78,63,0,15,0,0,0
LK-2103110,257,196,2,59,0,0,0
LK-2103115,168,134,0,34,0,0,0
LK-2103120,141,102,3,36,0,0,0
LK-2103125,118,116,0,2,0,0,0
LK-2103130,153,109,0,44,0,0,0
LK-2103135,230,193,0,35,1,1,0
LK-2103140,144,134,0,10,0,0,0
LK-2103145,82,80,0,2,0,0,0
LK-2103150,141,136,0,5,0,0,0
LK-2103155,104,101,0,2,0,0,1
LK-2103160,141,139,0,2,0,0,0
LK-2103165,177,170,0,6,1,0,0
LK-2103170,176,175,0,1,0,0,0
LK-2103175,158,156,0,2,0,0,0
LK-2103180,143,139,0,3,1,0,0
LK-2103185,125,123,0,2,0,0,0
LK-2103190,189,182,0,7,0,0,0
LK-2103195,121,113,0,8,0,0,0
LK-2103200,210,205,0,4,0,0,1
LK-2103205,166,161,0,3,2,0,0
LK-2103210,192,190,0,2,0,0,0
LK-2103215,105,100,1,4,0,0,0
LK-2103220,130,124,0,5,1,0,0
LK-2103225,106,106,0,0,0,0,0
LK-2103230,122,112,0,10,0,0,0
LK-2103235,111,111,0,0,0,0,0
LK-2103240,95,95,0,0,0,0,0
LK-2103245,102,95,0,6,1,0,0
LK-2103250,162,158,0,4,0,0,0
LK-2103255,174,152,1,19,2,0,0
LK-2103260,108,102,0,6,0,0,0
LK-2103265,235,191,0,43,1,0,0
LK-2103270,168,153,0,15,0,0,0
LK-2103275,205,169,1,35,0,0,0
LK-2103280,215,192,1,22,0,0,0
LK-2103285,203,184,0,19,0,0,0
LK-2103290,180,126,1,53,0,0,0
LK-2103295,212,211,0,1,0,0,0
LK-2103300,74,73,0,1,0,0,0
LK-2103305,145,141,0,4,0,0,0
LK-2103310,41,40,0,1,0,0,0
LK-2103315,113,113,0,0,0,0,0
LK-2103320,183,180,0,3,0,0,0
LK-2103325,112,108,0,4,0,0,0
LK-2103330,47,47,0,0,0,0,0
LK-2103335,51,49,0,2,0,0,0
LK-2106,14246,12856,38,1323,14,3,12
LK-2106005,253,251,0,2,0,0,0
LK-2106010,153,149,1,3,0,0,0
LK-2106015,238,236,0,2,0,0,0
LK-2106020,293,281,1,11,0,0,0
LK-2106025,286,277,0,8,1,0,0
LK-2106030,174,171,0,2,0,0,1
LK-2106035,183,178,0,4,1,0,0
LK-2106040,259,243,1,15,0,0,0
LK-2106045,296,234,1,58,0,0,3
LK-2106050,165,164,0,1,0,0,0
LK-2106055,161,159,1,1,0,0,0
LK-2106060,149,144,0,5,0,0,0
LK-2106065,187,184,0,3,0,0,0
LK-2106070,170,135,0,35,0,0,0
LK-2106075,403,300,2,101,0,0,0
LK-2106080,111,109,0,1,1,0,0
LK-2106085,313,242,0,71,0,0,0
LK-2106090,333,250,5,77,0,1,0
LK-2106095,206,198,1,7,0,0,0
LK-2106100,131,130,0,1,0,0,0
LK-2106105,142,131,0,8,2,0,1
LK-2106110,100,99,0,1,0,0,0
LK-2106115,223,220,0,3,0,0,0
LK-2106120,119,119,0,0,0,0,0
LK-2106125,253,240,0,12,0,1,0
LK-2106130,218,202,0,14,0,0,2
LK-2106135,320,317,0,3,0,0,0
LK-2106140,267,262,0,5,0,0,0
LK-2106145,172,167,0,5,0,0,0
LK-2106150,235,230,1,4,0,0,0
LK-2106155,226,224,0,2,0,0,0
LK-2106160,270,253,0,17,0,0,0
LK-2106165,266,250,0,16,0,0,0
LK-2106170,251,235,1,13,1,1,0
LK-2106175,244,216,0,28,0,0,0
LK-2106180,158,147,1,10,0,0,0
LK-2106185,158,137,0,21,0,0,0
LK-2106190,159,145,0,13,0,0,1
LK-2106195,217,176,0,40,1,0,0
LK-2106200,121,113,0,8,0,0,0
LK-2106205,218,194,0,24,0,0,0
LK-2106210,181,171,0,10,0,0,0
LK-2106215,246,232,0,12,1,0,1
LK-2106220,168,145,1,21,1,0,0
LK-2106225,242,203,2,37,0,0,0
LK-2106230,271,250,0,21,0,0,0
LK-2106235,138,121,0,17,0,0,0
LK-2106240,240,205,5,30,0,0,0
LK-2106245,196,192,0,4,0,0,0
LK-2106250,159,143,0,16,0,0,0
LK-2106255,161,146,0,15,0,0,0
LK-2106260,181,180,1,0,0,0,0
LK-2106265,191,170,0,21,0,0,0
LK-2106270,248,227,1,20,0,0,0
LK-2106275,105,98,0,7,0,0,0
LK-2106280,245,235,0,10,0,0,0
LK-2106285,152,130,0,22,0,0,0
LK-2106290,153,127,0,24,2,0,0
LK-2106295,132,122,0,10,0,0,0
LK-2106300,156,152,0,4,0,0,0
LK-2106305,258,223,1,34,0,0,0
LK-2106310,205,118,4,83,0,0,0
LK-2106315,260,232,3,24,1,0,0
LK-2106320,315,211,3,97,1,0,3
LK-2106325,484,364,0,120,0,0,0
LK-2106330,217,211,1,5,0,0,0
LK-2106335,141,136,0,4,1,0,0
LK-2109,13546,10597,88,2806,38,3,14
LK-2109005,398,372,1,23,1,0,1
LK-2109010,405,394,1,10,0,0,0
LK-2109015,457,438,2,15,1,0,1
LK-2109020,262,236,3,23,0,0,0
LK-2109025,954,742,25,178,3,2,4
LK-2109030,256,251,0,5,0,0,0
LK-2109035,460,394,5,60,0,0,1
LK-2109040,314,222,4,88,0,0,0
LK-2109045,424,384,2,37,0,0,1
LK-2109050,350,340,0,10,0,0,0
LK-2109055,407,325,1,81,0,0,0
LK-2109060,302,237,0,65,0,0,0
LK-2109065,246,228,1,17,0,0,0
LK-2109070,270,250,0,20,0,0,0
LK-2109075,266,258,0,8,0,0,0
LK-2109080,441,301,6,134,0,0,0
LK-2109085,391,270,1,120,0,0,0
LK-2109090,218,182,0,36,0,0,0
LK-2109095,382,258,3,117,3,0,1
LK-2109100,378,343,1,34,0,0,0
LK-2109105,559,359,3,193,4,0,0
LK-2109110,357,176,7,174,0,0,0
LK-2109115,612,361,7,237,6,0,1
LK-2109120,516,233,6,270,5,0,2
LK-2109125,362,275,1,76,10,0,0
LK-2109130,374,268,1,103,2,0,0
LK-2109135,184,182,0,2,0,0,0
LK-2109140,167,151,0,16,0,0,0
LK-2109145,431,425,0,6,0,0,0
LK-2109150,302,290,1,11,0,0,0
LK-2109155,209,195,1,13,0,0,0
LK-2109160,716,551,0,165,0,0,0
LK-2109165,370,180,3,184,2,0,1
LK-2109170,389,191,0,196,1,1,0
LK-2109175,417,335,2,79,0,0,1
LK-2112,22130,17691,175,4171,43,1,49
LK-2112005,370,346,2,21,0,0,1
LK-2112010,337,325,0,12,0,0,0
LK-2112015,585,523,1,58,3,0,0
LK-2112020,273,242,5,24,0,0,2
LK-2112025,553,509,0,41,3,0,0
LK-2112030,320,307,3,10,0,0,0
LK-2112035,280,266,1,13,0,0,0
LK-2112040,241,228,0,13,0,0,0
LK-2112045,282,262,2,17,1,0,0
LK-2112050,206,178,0,28,0,0,0
LK-2112055,332,312,1,19,0,0,0
LK-2112060,359,345,0,13,1,0,0
LK-2112065,233,221,0,11,1,0,0
LK-2112070,629,400,14,213,2,0,0
LK-2112075,807,504,21,270,12,0,0
LK-2112080,207,203,0,3,0,0,1
LK-2112085,384,346,3,35,0,0,0
LK-2112090,286,241,5,38,1,0,1
LK-2112095,589,500,5,84,0,0,0
LK-2112100,512,451,3,55,0,0,3
LK-2112105,343,326,0,16,1,0,0
LK-2112110,641,510,4,126,1,0,0
LK-2112115,623,515,1,99,1,0,7
LK-2112120,308,245,2,60,0,0,1
LK-2112125,219,206,0,13,0,0,0
LK-2112130,325,281,1,42,0,0,1
LK-2112135,293,224,3,66,0,0,0
LK-2112140,413,328,2,82,1,0,0
LK-2112145,427,343,4,79,1,0,0
LK-2112150,226,220,1,5,0,0,0
LK-2112155,405,387,1,17,0,0,0
LK-2112160,305,299,0,6,0,0,0
LK-2112165,490,363,2,125,0,0,0
LK-2112170,798,643,7,148,0,0,0
LK-2112175,685,651,1,29,0,0,4
LK-2112180,942,698,10,232,1,0,1
LK-2112185,524,436,1,87,0,0,0
LK-2112190,224,196,0,27,0,0,1
LK-2112195,289,230,0,58,1,0,0
LK-2112200,338,202,3,131,1,0,1
LK-2112205,349,273,5,64,0,0,7
LK-2112210,454,346,2,106,0,0,0
LK-2112215,430,351,4,75,0,0,0
LK-2112220,512,381,5,123,0,1,2
LK-2112225,526,354,10,158,2,0,2
LK-2112230,407,239,3,162,2,0,1
LK-2112235,634,223,5,402,3,0,1
LK-2112240,622,398,8,212,2,0,2
LK-2112245,556,467,5,84,0,0,0
LK-2112250,454,186,17,242,1,0,8
LK-2112255,309,249,0,58,0,0,2
LK-2112260,274,212,2,59,1,0,0
LK-2115,7076,6779,46,230,17,2,2
LK-2115005,1070,1050,8,9,3,0,0
LK-2115010,251,249,0,2,0,0,0
LK-2115015,595,564,4,23,4,0,0
LK-2115020,696,672,12,11,1,0,0
LK-2115025,775,753,1,20,0,0,1
LK-2115030,296,293,0,3,0,0,0
LK-2115035,247,242,2,3,0,0,0
LK-2115040,447,443,1,3,0,0,0
LK-2115045,731,680,4,43,4,0,0
LK-2115050,438,432,2,4,0,0,0
LK-2115055,417,401,2,13,1,0,0
LK-2115060,305,303,0,2,0,0,0
LK-2115065,200,194,0,6,0,0,0
LK-2115070,608,503,10,88,4,2,1
LK-2118,6382,6231,15,130,5,0,1
LK-2118005,93,93,0,0,0,0,0
LK-2118010,78,77,1,0,0,0,0
LK-2118015,33,33,0,0,0,0,0
LK-2118020,87,87,0,0,0,0,0
LK-2118025,25,25,0,0,0,0,0
LK-2118030,126,126,0,0,0,0,0
LK-2118035,88,88,0,0,0,0,0
LK-2118040,78,78,0,0,0,0,0
LK-2118045,94,94,0,0,0,0,0
LK-2118050,63,63,0,0,0,0,0
LK-2118055,59,59,0,0,0,0,0
LK-2118060,99,98,0,1,0,0,0
LK-2118065,214,212,0,2,0,0,0
LK-2118070,139,136,0,3,0,0,0
LK-2118075,124,124,0,0,0,0,0
LK-2118080,83,83,0,0,0,0,0
LK-2118085,94,94,0,0,0,0,0
LK-2118090,110,110,0,0,0,0,0
LK-2118095,64,64,0,0,0,0,0
LK-2118100,66,66,0,0,0,0,0
LK-2118105,118,117,0,1,0,0,0
LK-2118110,89,89,0,0,0,0,0
LK-2118115,72,72,0,0,0,0,0
LK-2118120,131,130,0,1,0,0,0
LK-2118125,91,88,0,3,0,0,0
LK-2118130,54,51,0,2,0,0,1
LK-2118135,186,177,0,8,1,0,0
LK-2118140,139,106,0,33,0,0,0
LK-2118145,106,101,1,4,0,0,0
LK-2118150,309,256,11,42,0,0,0
LK-2118155,129,129,0,0,0,0,0
LK-2118160,88,86,0,2,0,0,0
LK-2118165,79,70,1,7,1,0,0
LK-2118170,111,107,1,3,0,0,0
LK-2118175,166,166,0,0,0,0,0
LK-2118180,99,97,0,1,1,0,0
LK-2118185,79,78,0,1,0,0,0
LK-2118190,59,58,0,1,0,0,0
LK-2118195,133,127,0,6,0,0,0
LK-2118200,45,45,0,0,0,0,0
LK-2118205,77,77,0,0,0,0,0
LK-2118210,54,54,0,0,0,0,0
LK-2118215,94,91,0,3,0,0,0
LK-2118220,84,84,0,0,0,0,0
LK-2118225,158,155,0,3,0,0,0
LK-2118230,68,68,0,0,0,0,0
LK-2118235,75,75,0,0,0,0,0
LK-2118240,140,140,0,0,0,0,0
LK-2118245,124,124,0,0,0,0,0
LK-2118250,56,56,0,0,0,0,0
LK-2118255,63,63,0,0,0,0,0
LK-2118260,77,77,0,0,0,0,0
LK-2118265,80,80,0,0,0,0,0
LK-2118270,123,122,0,0,1,0,0
LK-2118275,96,95,0,0,1,0,0
LK-2118280,111,111,0,0,0,0,0
LK-2118285,42,41,0,1,0,0,0
LK-2118290,192,191,0,1,0,0,0
LK-2118295,210,209,0,1,0,0,0
LK-2118300,126,126,0,0,0,0,0
LK-2118305,49,49,0,0,0,0,0
LK-2118310,77,77,0,0,0,0,0
LK-2118315,106,106,0,0,0,0,0
LK-2121,14178,13736,23,353,55,2,9
LK-2121005,33,33,0,0,0,0,0
LK-2121010,59,59,0,0,0,0,0
LK-2121015,460,456,0,4,0,0,0
LK-2121020,379,379,0,0,0,0,0
LK-2121025,588,578,0,7,1,0,2
LK-2121030,433,426,0,6,0,0,1
LK-2121035,312,312,0,0,0,0,0
LK-2121040,232,228,0,4,0,0,0
LK-2121045,93,92,1,0,0,0,0
LK-2121050,38,38,0,0,0,0,0
LK-2121055,286,283,0,1,2,0,0
LK-2121060,320,320,0,0,0,0,0
LK-2121065,350,347,0,3,0,0,0
LK-2121070,437,430,2,5,0,0,0
LK-2121075,399,373,2,24,0,0,0
LK-2121080,245,244,0,0,0,0,1
LK-2121085,196,195,0,1,0,0,0
LK-2121090,372,368,1,1,2,0,0
LK-2121095,103,103,0,0,0,0,0
LK-2121100,287,286,0,1,0,0,0
LK-2121105,168,168,0,0,0,0,0
LK-2121110,239,237,0,2,0,0,0
LK-2121115,308,304,0,4,0,0,0
LK-2121120,220,218,0,2,0,0,0
LK-2121125,388,385,0,3,0,0,0
LK-2121130,222,216,0,6,0,0,0
LK-2121135,348,342,1,5,0,0,0
LK-2121140,493,455,1,37,0,0,0
LK-2121145,403,320,5,75,3,0,0
LK-2121150,331,328,1,1,1,0,0
LK-2121155,336,330,1,5,0,0,0
LK-2121160,220,213,0,6,1,0,0
LK-2121165,282,280,0,2,0,0,0
LK-2121170,434,402,1,29,2,0,0
LK-2121175,465,430,1,31,0,2,1
LK-2121180,227,206,2,16,3,0,0
LK-2121185,314,291,1,22,0,0,0
LK-2121190,325,323,0,2,0,0,0
LK-2121195,294,292,0,2,0,0,0
LK-2121200,474,459,1,12,2,0,0
LK-2121205,384,379,0,4,1,0,0
LK-2121210,194,193,0,1,0,0,0
LK-2121215,197,194,1,0,0,0,2
LK-2121220,242,239,0,3,0,0,0
LK-2121225,322,319,1,2,0,0,0
LK-2121230,346,344,0,1,0,0,1
LK-2121235,189,189,0,0,0,0,0
LK-2121240,191,130,0,23,37,0,1
LK-2124,16310,15401,41,824,30,3,11
LK-2124005,69,68,0,1,0,0,0
LK-2124010,205,204,0,0,1,0,0
LK-2124015,109,106,0,3,0,0,0
LK-2124020,77,77,0,0,0,0,0
LK-2124025,199,199,0,0,0,0,0
LK-2124030,129,128,1,0,0,0,0
LK-2124035,104,103,0,1,0,0,0
LK-2124040,100,100,0,0,0,0,0
LK-2124045,79,78,0,1,0,0,0
LK-2124050,136,135,0,1,0,0,0
LK-2124055,81,76,0,5,0,0,0
LK-2124060,298,290,3,5,0,0,0
LK-2124065,205,188,1,10,6,0,0
LK-2124070,195,185,7,3,0,0,0
LK-2124075,122,122,0,0,0,0,0
LK-2124080,94,94,0,0,0,0,0
LK-2124085,151,150,0,1,0,0,0
LK-2124090,54,53,1,0,0,0,0
LK-2124095,162,160,0,2,0,0,0
LK-2124100,129,128,0,1,0,0,0
LK-2124105,258,246,0,10,2,0,0
LK-2124110,85,85,0,0,0,0,0
LK-2124115,123,122,0,1,0,0,0
LK-2124120,276,270,0,6,0,0,0
LK-2124125,135,132,0,1,2,0,0
LK-2124130,162,158,0,4,0,0,0
LK-2124135,75,72,0,3,0,0,0
LK-2124140,171,161,1,9,0,0,0
LK-2124145,135,131,0,3,0,0,1
LK-2124150,186,180,0,5,0,0,1
LK-2124155,164,163,0,1,0,0,0
LK-2124160,127,126,0,1,0,0,0
LK-2124165,203,200,0,1,1,0,1
LK-2124170,103,103,0,0,0,0,0
LK-2124175,115,112,0,3,0,0,0
LK-2124180,129,128,0,1,0,0,0
LK-2124185,146,144,0,1,0,0,1
LK-2124190,108,102,0,6,0,0,0
LK-2124195,129,127,0,2,0,0,0
LK-2124200,97,94,0,3,0,0,0
LK-2124205,162,158,0,4,0,0,0
LK-2124210,181,179,0,2,0,0,0
LK-2124215,115,114,0,1,0,0,0
LK-2124220,244,220,1,23,0,0,0
LK-2124225,249,195,1,53,0,0,0
LK-2124230,185,172,0,13,0,0,0
LK-2124235,240,197,1,42,0,0,0
LK-2124240,183,178,1,4,0,0,0
LK-2124245,204,196,1,7,0,0,0
LK-2124250,371,347,3,21,0,0,0
LK-2124255,257,255,0,2,0,0,0
LK-2124260,197,187,0,10,0,0,0
LK-2124265,128,124,0,4,0,0,0
LK-2124270,103,103,0,0,0,0,0
LK-2124275,241,240,1,0,0,0,0
LK-2124280,238,228,0,10,0,0,0
LK-2124285,177,173,1,3,0,0,0
LK-2124290,204,202,0,2,0,0,0
LK-2124295,140,136,0,3,1,0,0
LK-2124300,172,171,0,1,0,0,0
LK-2124305,185,183,0,2,0,0,0
LK-2124310,195,194,0,1,0,0,0
LK-2124315,213,203,0,10,0,0,0
LK-2124320,144,131,0,13,0,0,0
LK-2124325,159,140,0,19,0,0,0
LK-2124330,179,140,1,37,1,0,0
LK-2124335,279,191,0,86,1,0,1
LK-2124340,494,335,5,151,0,0,3
LK-2124345,308,286,4,17,1,0,0
LK-2124350,364,309,1,53,1,0,0
LK-2124355,202,173,1,28,0,0,0
LK-2124360,224,188,1,19,13,3,0
LK-2124365,196,178,0,18,0,0,0
LK-2124370,131,128,0,2,0,0,1
LK-2124375,198,189,1,8,0,0,0
LK-2124380,502,486,0,16,0,0,0
LK-2124385,248,235,0,13,0,0,0
LK-2124390,222,207,1,14,0,0,0
LK-2124395,102,100,0,2,0,0,0
LK-2124400,168,166,0,2,0,0,0
LK-2124405,155,153,0,0,0,0,2
LK-2124410,153,152,0,1,0,0,0
LK-2124415,181,179,0,2,0,0,0
LK-2124425,232,228,0,4,0,0,0
LK-2124430,175,173,0,2,0,0,0
LK-2124435,138,137,1,0,0,0,0
LK-2124440,212,210,1,1,0,0,0
LK-2124445,178,178,0,0,0,0,0
LK-2124450,136,135,0,1,0,0,0
LK-2124455,152,151,0,1,0,0,0
LK-2124460,104,104,0,0,0,0,0
LK-2124465,79,78,0,1,0,0,0
LK-2124470,86,86,0,0,0,0,0
LK-2127,32327,24270,367,7543,75,11,61
