ID,FIELD-0000,FIELD-0001,FIELD-0002,FIELD-0003,FIELD-0004,FIELD-0005,FIELD-0006,FIELD-0007,FIELD-0008,FIELD-0009,FIELD-0010,FIELD-0011,FIELD-0012,FIELD-0013
EC-03H,37983,14184,6971,4698,493,301,294,7880,119,1,2879,9,4,150
EC-04,348019,49629,38580,10117,132091,28270,14564,39395,6762,688,24032,221,61,3609
EC-04A,18055,6039,4954,844,1372,608,546,1905,825,74,590,9,3,286
EC-04B,50395,11519,8685,1483,17184,2321,1687,3330,2290,7,1255,21,17,596
EC-04C,29206,2766,2594,443,11824,2222,1121,4139,387,24,3461,9,0,216
EC-04D,20560,3900,4023,1262,779,992,529,6141,588,7,2233,5,7,94
EC-04E,16310,664,1240,456,5458,2648,860,2167,73,8,2454,23,0,259
EC-04F,32327,1316,1397,297,21560,4770,1137,1019,364,6,95,3,11,352
EC-04G,15127,744,1287,537,3979,2453,1014,3253,508,329,669,99,0,255
EC-04H,15700,196,182,54,12788,874,355,848,54,20,210,6,1,112
EC-04I,21530,508,153,40,17105,1117,660,1257,11,1,444,1,7,226
EC-04J,27305,8333,3998,738,9844,1505,640,1092,383,43,513,9,7,200
EC-04K,27517,4876,2860,635,14370,2306,901,572,636,6,128,3,4,220
EC-04L,20928,2053,1890,1010,2345,2032,1355,6580,142,73,3277,5,2,164
EC-04M,53059,6715,5317,2318,13483,4422,3759,7092,501,90,8703,28,2,629
EC-05,129710,26731,22822,5253,24559,8876,4168,22399,7500,62,6605,28,63,644
EC-05A,46512,14593,10027,2489,2744,1518,1207,9015,4145,17,566,13,41,137
EC-05B,24735,5232,5947,1265,1559,1698,610,4221,1338,28,2721,6,10,100
EC-05C,26806,3880,3686,525,10733,1919,915,2687,1434,9,813,4,10,191
EC-05D,31657,3026,3162,974,9523,3741,1436,6476,583,8,2505,5,2,216
EC-06,181182,9149,10157,6899,19002,22837,11826,38262,1169,66,60177,103,17,1518
EC-06A,102953,3707,2599,2398,14535,15447,7444,21142,756,29,33630,68,14,1184
EC-06B,25887,1717,1712,1302,1731,4130,2463,4445,92,5,8067,12,2,209
EC-06C,24250,1950,3848,1191,1843,1886,1021,5353,220,25,6861,16,0,36
EC-06D,28092,1775,1998,2008,893,1374,898,7322,101,7,11619,7,1,89
EC-07,273140,117064,40126,19214,56542,14807,7671,7028,3171,135,5984,10,41,1347
EC-07A,17142,4559,1736,553,7177,1764,1010,77,177,25,3,0,13,48
EC-07B,20786,10478,2822,680,5030,770,240,504,200,0,0,0,3,59
EC-07C,25300,17202,4270,2626,448,100,81,73,393,0,22,0,2,83
EC-07D,30030,16547,6772,2971,1328,632,488,472,355,105,218,4,10,128
EC-07E,26144,8164,4458,3255,318,336,430,4136,310,0,4636,1,0,100
EC-07F,46289,24839,10214,6051,961,413,556,835,1106,2,1053,1,3,255
EC-07G,25544,5671,1594,280,11693,3897,2046,0,173,2,1,2,1,184
EC-07H,22613,2082,283,35,16940,2458,610,0,64,1,1,0,1,138
EC-07I,32199,15118,3442,1079,7709,2427,1154,799,261,0,22,2,6,180
EC-07J,27093,12404,4535,1684,4938,2010,1056,132,132,0,28,0,2,172
EC-08,206790,65292,25843,12457,46985,17580,3913,19013,1562,14,13140,48,25,918
EC-08A,30381,5183,4710,3261,778,721,444,8391,163,3,6578,23,2,124
EC-08B,37292,12947,8187,3693,776,701,489,5721,391,0,4204,15,2,166
EC-08C,30703,14485,4160,2555,2980,1438,244,2157,299,2,2264,3,1,115
EC-08D,24361,13864,3697,1234,2375,1046,282,1439,289,2,33,3,4,93
EC-08E,25320,4705,1308,396,11629,5874,649,481,131,0,11,3,5,128
EC-08F,28040,3171,461,195,19100,4451,404,95,32,0,1,0,1,129
EC-08G,30693,10937,3320,1123,9347,3349,1401,729,257,7,49,1,10,163
EC-09,156476,18709,11881,3618,38450,42035,7728,24791,3666,501,3264,57,108,1668
EC-09A,34496,7024,4708,1661,3923,4617,997,7063,1062,0,3110,17,33,281
EC-09B,19260,5614,2575,617,4063,2416,357,3421,146,1,1,3,2,44
EC-09C,50132,3585,2555,507,18489,16742,2589,4378,803,10,32,17,3,422
EC-09D,52588,2486,2043,833,11975,18260,3785,9929,1655,490,121,20,70,921
EC-10,168692,63675,54206,8284,2439,3050,14294,0,17088,3977,25,4,56,1594
EC-10A,9708,912,4016,86,21,86,2562,0,12,1991,5,3,4,10
EC-10B,10964,3408,5249,82,131,181,1190,0,496,182,0,0,0,45
EC-10C,19548,8224,5920,139,312,390,338,0,3867,73,0,0,0,285
EC-10D,12460,4872,4354,130,247,183,725,0,1558,104,0,0,3,284
EC-10E,17166,8124,3794,146,225,428,1107,0,2828,467,0,0,1,46
EC-10F,11239,2429,4517,187,305,611,425,0,2679,9,1,0,1,75
EC-10G,15413,6280,5735,235,232,236,518,0,1852,276,7,0,3,39
EC-10H,16198,8110,6745,174,150,141,199,0,193,0,0,0,2,484
EC-10I,16476,9936,3245,66,545,326,226,0,2049,11,0,0,4,68
EC-10J,11151,2347,979,10,239,381,6961,0,73,29,0,0,35,97
EC-10K,28369,9033,9652,7029,32,87,43,0,1481,835,12,1,3,161
EC-11,90779,33393,23403,8746,2132,5105,2965,275,10010,3129,88,40,958,535
EC-11A,23975,5700,6644,661,1192,3834,1302,0,1666,2785,32,2,42,115
EC-11B,41908,19540,8517,1623,880,1171,1522,275,7256,134,8,38,912,32
EC-11C,24896,8153,8242,6462,60,100,141,0,1088,210,48,0,4,388
EC-12,134966,77504,29831,2965,4110,4762,802,796,12184,210,994,135,78,595
EC-12A,31827,17623,7836,667,476,541,106,0,3754,12,526,133,8,145
EC-12B,32379,17118,10636,1437,365,380,81,209,1492,19,333,0,4,305
EC-12C,70760,42763,11359,861,3269,3841,615,587,6938,179,135,2,66,145
EC-13,165166,44011,33011,7436,35590,24812,5607,10148,2375,168,755,83,39,1131
EC-13A,52135,8860,16644,4648,6362,4907,1918,7569,601,55,359,22,10,180
EC-13B,32789,5637,5025,656,11459,7131,1255,738,197,30,156,27,3,475
EC-13C,36102,9282,584,52,14582,9122,1030,221,985,0,3,1,19,221
EC-13D,44140,20232,10758,2080,3187,3652,1404,1620,592,83,237,33,7,255
EC-14,96951,26911,22617,3175,15596,15106,4170,1001,1408,4425,1090,12,81,1359
EC-14A,49079,14495,11311,1901,7214,5727,2457,1001,475,2764,1080,12,49,593
EC-14B,33087,6620,5340,302,8349,9329,1618,0,610,223,6,0,24,666
EC-14C,14785,5796,5966,972,33,50,95,0,323,1438,4,0,8,100
EC-15,443349,230275,111409,25653,15640,6355,4656,34950,9312,142,2389,343,444,1781
EC-15A,31695,7603,10877,1527,589,486,246,9228,871,9,26,70,105,58
EC-15B,33485,11740,12052,438,780,833,478,5856,1019,29,78,81,27,74
EC-15C,44617,17524,15897,1502,1210,506,393,5993,973,15,155,155,42,252
EC-15D,34488,20474,9956,932,1074,319,315,848,334,3,90,1,16,126
EC-15E,16994,9130,5114,357,613,317,142,950,288,6,2,11,14,50
EC-15F,26610,15053,7750,729,527,209,89,1559,587,6,2,1,23,75
EC-15G,31758,18426,7680,1810,422,278,88,1497,1432,6,8,4,15,92
EC-15H,33836,20726,4029,6355,979,365,126,566,608,0,3,2,3,74
EC-15I,35371,21980,7424,3383,752,259,178,689,573,9,1,4,5,114
EC-15J,32559,18406,5377,4394,1457,644,275,1367,344,1,66,0,5,223
EC-15K,36651,22676,7642,1943,1762,391,182,1358,554,3,21,2,9,108
EC-15L,43945,27601,7929,918,3558,594,765,1089,826,48,208,3,168,238
EC-15M,17262,9305,3896,597,791,294,316,1108,387,2,476,0,8,82
EC-15N,24078,9631,5786,768,1126,860,1063,2842,516,5,1253,9,4,215
EC-16,202796,57030,34591,3661,17626,13074,5545,19864,34696,3961,491,715,3445,8097
EC-16A,44757,6595,5229,936,5713,4548,1731,6523,5248,1030,417,139,861,5787
EC-16B,28854,5420,12461,658,315,425,262,6202,2347,133,38,336,71,186
EC-16C,62442,14767,11621,683,6016,5073,2463,5208,9756,2762,32,239,2334,1488
EC-16D,30870,12441,2649,475,1391,1404,508,1328,10171,10,0,1,149,343
EC-16E,35873,17807,2631,909,4191,1624,581,603,7174,26,4,0,30,293
EC-17,231356,50933,64063,7811,33806,17571,8164,35054,5941,205,3138,1259,2504,907
EC-17A,25013,7120,8509,1149,1064,959,285,2407,1042,13,1418,521,386,140
EC-17B,32826,10450,14180,757,828,942,353,3972,549,2,348,111,224,110
EC-17C,25954,5279,6012,555,4936,2986,1803,2552,878,4,257,293,350,49
EC-17D,19943,3886,6072,694,808,699,537,6195,573,161,94,21,167,36
EC-17E,46428,10404,12411,2491,4620,3245,1812,10138,537,5,328,64,245,128
EC-17F,51780,6643,8679,1091,18518,7012,2564,4613,1206,13,58,208,1088,87
EC-17G,29412,7151,8200,1074,3032,1728,810,5177,1156,7,635,41,44,357
EC-18,111010,29968,25434,7627,12098,8554,2979,18437,3273,28,1620,174,480,338
EC-18A,29868,7915,6232,2630,3650,2175,749,4536,1578,6,172,28,121,76
EC-18B,28068,11476,8989,2062,348,598,438,3139,547,5,172,79,105,110
EC-18C,53074,10577,10213,2935,8100,5781,1792,10762,1148,17,1276,67,254,152
EC-19,214900,29028,27523,12707,28328,15963,7813,45155,2198,106,44812,205,40,1022
EC-19A,34380,12326,10232,3511,1738,986,364,3562,724,0,833,5,10,89
EC-19B,17739,1506,2152,816,407,1496,428,6579,271,0,4038,7,3,36
EC-19C,21398,700,1081,1001,1017,925,681,5847,46,8,9998,19,0,75
EC-19D,18835,911,1029,225,9162,1955,1235,1595,131,0,2508,0,9,75
EC-19E,24057,2829,3160,1817,1399,1089,897,5344,245,6,7188,29,5,49
EC-19F,20948,1612,3636,1862,1896,1902,618,5611,260,16,3460,5,2,68
EC-19G,26047,2900,3161,1950,5052,3379,1178,4848,303,33,3012,14,4,213
EC-19H,28597,4860,2229,958,3653,2116,1573,7415,144,36,5283,18,3,309
EC-19I,22899,1384,843,567,4004,2115,839,4354,74,7,8492,108,4,108
EC-20,120137,25872,20186,7076,15009,13785,4251,20424,5483,69,6892,79,21,990
EC-20A,28656,8854,6799,2192,2371,2170,441,3671,992,3,1062,5,5,91
EC-20B,37437,9644,7499,2972,4002,2998,789,5244,1936,1,2177,22,1,152
EC-20C,54044,7374,5888,1912,8636,8617,3021,11509,2555,65,3653,52,15,747
EC-21,285893,49680,37636,14384,28830,24976,12868,75632,4235,399,34825,111,34,2283
EC-21A,51126,17709,10052,2941,3426,2089,1800,9531,313,0,3049,8,6,202
EC-21B,30385,4277,1694,503,6135,2895,1380,9817,192,10,3268,4,3,207
EC-21C,22909,3640,2690,1339,1899,2136,1314,5476,213,6,3848,6,2,340
EC-21D,37708,6680,4459,1858,4575,3298,1101,11728,171,6,3558,33,0,241
EC-21E,36051,5064,6148,1999,3199,4522,2328,8539,405,48,3442,33,13,311
EC-21F,36622,4925,4854,2356,2118,3037,2430,9976,154,4,6212,10,2,544
EC-21G,22239,1456,1170,1335,181,757,354,10723,49,9,6023,2,0,180
EC-21H,48853,5929,6569,2053,7297,6242,2161,9842,2738,316,5425,15,8,258
EC-22,220749,68467,43135,15886,30653,9768,7871,18819,535,37,22864,62,13,2639
EC-22A,29497,15110,7520,3014,584,182,247,1261,35,3,1434,3,5,99
EC-22B,19869,8844,5308,2357,550,261,134,1366,49,0,786,9,2,203
EC-22C,23753,7720,4428,1434,5660,1089,408,1243,29,0,643,1,3,1095
EC-22D,22184,9921,5170,1852,3035,659,320,806,100,0,242,2,1,76
EC-22E,28124,6733,4698,781,10817,1598,867,1740,36,0,832,0,1,21
EC-22F,18548,4336,3971,680,3092,1869,2432,0,89,1,1862,13,0,203
EC-22G,28635,4908,4546,1752,1670,1597,1336,5338,52,7,7015,13,0,401
EC-22H,16684,4954,3093,1398,2362,791,577,1343,91,0,1894,4,0,177
EC-22I,33455,5941,4401,2618,2883,1722,1550,5722,54,26,8156,17,1,364
LK,5264282,1652972,772819,211556,1110050,363043,181235,482937,177432,18931,239952,4022,9984,39349
LK-1,1482221,579651,96365,28587,550564,65757,49380,51494,44864,609,6767,333,1476,6374
LK-11,572475,123735,11188,1951,360380,29938,26539,12728,2065,38,1560,112,828,1413
LK-1103,68245,377,67,28,52514,4885,9711,0,444,2,2,14,40,161
LK-1103005,1743,7,1,0,1422,79,224,0,2,0,0,0,0,8
LK-1103010,6304,81,7,9,5048,441,610,0,82,0,1,0,8,17
LK-1103015,3967,33,2,1,3209,521,150,0,16,0,0,0,0,35
LK-1103020,2916,10,2,0,2283,121,486,0,1,1,0,0,1,11
LK-1103025,1995,9,0,0,1364,165,436,0,8,0,0,0,0,13
LK-1103030,3236,16,2,2,2666,160,382,0,8,0,0,0,0,0
LK-1103035,2839,13,4,1,2079,182,551,0,5,0,0,1,1,2
LK-1103040,3267,34,2,2,2212,345,663,0,1,0,0,0,0,8
LK-1103045,1605,7,0,0,1467,18,91,0,20,0,0,0,1,1
LK-1103050,2210,7,3,0,1744,158,292,0,6,0,0,0,0,0
LK-1103055,1935,19,17,0,1506,117,242,0,24,0,0,0,0,10
LK-1103060,1768,8,4,0,1413,143,193,0,5,0,0,0,1,1
LK-1103065,1689,14,0,0,1208,152,300,0,14,0,0,0,0,1
LK-1103070,2612,14,0,3,2283,83,223,0,5,0,0,0,0,1
LK-1103075,3816,8,2,2,2923,387,470,0,17,0,0,0,4,3
LK-1103080,1695,13,4,0,1234,92,347,0,4,0,0,0,1,0
LK-1103085,1465,7,2,0,1067,98,289,0,2,0,0,0,0,0
LK-1103090,2344,11,3,4,1771,246,294,0,11,0,0,0,0,4
LK-1103095,2729,3,1,0,2371,72,262,0,4,1,0,0,3,12
LK-1103100,1803,13,0,0,1499,63,215,0,11,0,0,0,0,2
LK-1103105,1342,14,1,0,935,113,225,0,53,0,0,0,0,1
LK-1103110,1500,9,1,0,1168,104,199,0,14,0,0,0,4,1
LK-1103115,35,0,0,0,26,3,6,0,0,0,0,0,0,0
LK-1103120,130,0,0,0,59,2,56,0,0,0,0,13,0,0
LK-1103125,770,1,0,2,550,60,145,0,9,0,0,0,2,1
LK-1103130,739,5,1,1,546,79,97,0,10,0,0,0,0,0
LK-1103135,1425,2,2,0,886,167,326,0,41,0,0,0,1,0
LK-1103140,795,3,0,0,514,34,233,0,1,0,0,0,0,10
LK-1103145,1443,1,0,0,992,90,346,0,12,0,0,0,0,2
LK-1103150,1793,2,2,0,1155,223,364,0,45,0,0,0,1,1
LK-1103155,1938,2,0,0,1706,23,204,0,1,0,0,0,0,2
LK-1103160,1588,6,0,0,1180,160,241,0,0,0,1,0,0,0
LK-1103165,948,0,2,0,716,125,101,0,4,0,0,0,0,0
LK-1103170,475,0,0,0,405,5,50,0,2,0,0,0,12,1
LK-1103175,1386,5,2,1,907,54,398,0,6,0,0,0,0,13
LK-1106,45446,2114,153,42,38090,2954,1696,0,154,0,3,0,16,224
LK-1106005,1812,2,0,0,1528,119,141,0,0,0,0,0,0,22
LK-1106010,1617,1,0,0,1138,109,346,0,1,0,0,0,0,22
LK-1106015,540,11,2,0,414,77,21,0,3,0,1,0,0,11
LK-1106020,1254,2,1,4,982,213,48,0,3,0,0,0,0,1
LK-1106025,476,2,2,0,326,68,58,0,0,0,0,0,0,20
LK-1106030,1260,1,0,0,1047,64,142,0,0,0,1,0,0,5
LK-1106035,1906,19,5,0,1618,120,142,0,0,0,0,0,0,2
LK-1106040,1083,31,2,0,851,171,28,0,0,0,0,0,0,0
LK-1106045,1272,38,3,1,1052,54,122,0,1,0,0,0,0,1
LK-1106050,1774,96,2,0,1574,54,38,0,7,0,0,0,0,3
LK-1106055,867,47,0,0,756,51,7,0,2,0,0,0,0,4
LK-1106060,1193,105,3,2,1036,27,17,0,0,0,0,0,1,2
LK-1106065,1005,100,10,0,697,174,22,0,1,0,0,0,0,1
LK-1106070,694,43,6,1,485,115,34,0,9,0,1,0,0,0
LK-1106075,1098,73,7,0,834,136,31,0,11,0,0,0,0,6
LK-1106080,843,90,12,0,689,24,16,0,12,0,0,0,0,0
LK-1106085,891,79,5,5,758,21,16,0,6,0,0,0,0,1
LK-1106090,793,47,1,1,721,15,6,0,0,0,0,0,0,2
LK-1106095,935,12,1,0,851,55,12,0,4,0,0,0,0,0
LK-1106100,496,4,0,0,480,4,2,0,6,0,0,0,0,0
LK-1106105,781,2,0,0,688,58,24,0,0,0,0,0,1,8
LK-1106110,537,1,0,0,527,4,3,0,0,0,0,0,1,1
LK-1106115,1343,8,2,1,1121,176,7,0,1,0,0,0,1,26
LK-1106120,954,4,1,0,847,60,17,0,0,0,0,0,0,25
LK-1106125,2188,11,0,0,2027,116,26,0,2,0,0,0,1,5
LK-1106130,735,64,2,0,648,16,3,0,1,0,0,0,1,0
LK-1106135,1104,78,6,2,872,91,29,0,24,0,0,0,0,2
LK-1106140,781,75,3,0,670,24,7,0,2,0,0,0,0,0
LK-1106145,1225,66,8,1,1051,68,22,0,5,0,0,0,1,3
LK-1106150,1278,75,4,1,1078,80,18,0,4,0,0,0,0,18
LK-1106155,654,71,27,8,513,11,8,0,1,0,0,0,0,15
LK-1106160,523,44,0,6,398,53,14,0,5,0,0,0,0,3
LK-1106165,1520,144,3,0,1257,63,38,0,15,0,0,0,0,0
LK-1106170,638,128,2,1,478,13,6,0,5,0,0,0,1,4
LK-1106175,985,92,10,4,807,51,12,0,4,0,0,0,0,5
LK-1106180,877,53,4,1,682,121,16,0,0,0,0,0,0,0
LK-1106185,803,44,4,0,654,46,48,0,7,0,0,0,0,0
LK-1106190,515,67,0,1,423,20,2,0,1,0,0,0,1,0
LK-1106195,645,65,0,0,567,1,8,0,3,0,0,0,0,1
LK-1106200,616,57,0,0,505,48,5,0,1,0,0,0,0,0
LK-1106205,1226,5,0,1,1151,44,21,0,1,0,0,0,0,3
LK-1106210,755,3,0,0,750,1,0,0,1,0,0,0,0,0
LK-1106215,633,0,1,0,610,15,7,0,0,0,0,0,0,0
LK-1106220,899,75,4,0,702,19,89,0,4,0,0,0,5,1
LK-1106225,541,31,3,1,449,44,10,0,1,0,0,0,1,1
LK-1106230,881,48,7,0,778,40,7,0,0,0,0,0,1,0
LK-1109,65495,19129,1176,179,38986,3096,2454,0,245,0,3,2,67,158
LK-1109005,1269,238,6,0,942,36,30,0,17,0,0,0,0,0
LK-1109010,1008,219,11,0,612,102,60,0,1,0,0,0,0,3
LK-1109015,1105,251,7,3,820,17,5,0,1,0,0,0,0,1
LK-1109020,1066,166,7,2,660,32,191,0,7,0,0,0,1,0
LK-1109025,1089,389,11,1,524,57,66,0,16,0,1,0,0,24
LK-1109030,1073,392,11,3,618,38,5,0,4,0,0,0,0,2
LK-1109035,1025,271,41,3,436,97,154,0,23,0,0,0,0,0
LK-1109040,1371,439,44,7,548,143,160,0,30,0,0,0,0,0
LK-1109045,1253,429,48,2,572,148,34,0,20,0,0,0,0,0
LK-1109050,537,118,13,1,301,86,15,0,2,0,0,0,1,0
LK-1109055,1535,275,21,2,1142,51,36,0,7,0,0,0,1,0
LK-1109060,1415,236,18,10,884,221,32,0,5,0,0,0,0,9
LK-1109065,816,124,0,0,425,115,146,0,0,0,0,0,0,6
LK-1109070,1933,310,15,10,1378,126,89,0,1,0,0,0,1,3
LK-1109075,1112,529,24,1,496,21,18,0,3,0,0,0,1,19
LK-1109080,2368,1540,155,22,481,80,54,0,9,0,0,0,0,27
LK-1109085,708,583,62,10,33,16,3,0,1,0,0,0,0,0
LK-1109090,494,298,12,3,69,2,102,0,8,0,0,0,0,0
LK-1109095,1214,506,33,5,455,166,46,0,3,0,0,0,0,0
LK-1109100,552,443,12,1,23,2,68,0,0,0,2,0,0,1
LK-1109105,492,404,34,0,9,2,41,0,2,0,0,0,0,0
LK-1109110,692,326,37,7,89,12,210,0,1,0,0,0,0,10
LK-1109115,1972,867,35,2,1002,45,13,0,6,0,0,0,1,1
LK-1109120,1356,595,71,7,619,29,30,0,2,0,0,0,0,3
LK-1109125,1587,331,20,6,1182,28,12,0,3,0,0,0,5,0
LK-1109130,1291,301,12,0,822,51,93,0,4,0,0,0,1,7
LK-1109135,967,199,4,1,742,18,2,0,1,0,0,0,0,0
LK-1109140,699,127,4,2,555,7,3,0,1,0,0,0,0,0
LK-1109145,1782,320,14,5,1354,67,12,0,6,0,0,0,2,2
LK-1109150,2410,280,21,6,1942,131,20,0,2,0,0,0,0,8
LK-1109155,2203,398,7,1,1753,30,11,0,1,0,0,0,1,1
LK-1109160,1142,137,2,0,961,25,13,0,1,0,0,0,2,1
LK-1109165,815,75,5,2,632,74,5,0,0,0,0,0,18,4
LK-1109170,601,62,9,3,508,14,3,0,1,0,0,0,0,1
LK-1109175,677,59,0,1,599,11,6,0,1,0,0,0,0,0
LK-1109180,563,74,0,0,447,3,39,0,0,0,0,0,0,0
LK-1109185,1944,224,15,4,1531,135,28,0,7,0,0,0,0,0
LK-1109190,1946,453,20,5,1312,59,93,0,2,0,0,0,2,0
LK-1109195,1584,353,24,4,1038,134,28,0,0,0,0,0,0,3
LK-1109200,1229,697,62,7,424,20,16,0,3,0,0,0,0,0
LK-1109205,1511,1050,69,5,315,31,36,0,3,0,0,0,1,1
LK-1109210,790,448,13,2,205,6,111,0,4,0,0,0,0,1
LK-1109215,820,383,26,3,357,43,2,0,6,0,0,0,0,0
LK-1109220,1316,498,27,5,672,17,90,0,7,0,0,0,0,0
LK-1109225,1469,431,9,2,928,88,7,0,2,0,0,1,0,1
LK-1109230,672,261,11,1,345,35,11,0,2,0,0,0,5,1
LK-1109235,1393,283,4,0,1034,54,6,0,4,0,0,1,5,2
LK-1109240,633,1,0,0,624,6,1,0,0,0,0,0,0,1
LK-1109245,601,86,2,0,463,41,5,0,1,0,0,0,3,0
LK-1109250,834,93,4,0,645,86,2,0,0,0,0,0,4,0
LK-1109255,458,43,2,0,307,1,104,0,1,0,0,0,0,0
LK-1109260,499,71,0,0,409,6,2,0,6,0,0,0,5,0
LK-1109265,1184,188,1,4,970,7,8,0,0,0,0,0,5,1
LK-1109270,811,108,2,0,690,7,3,0,0,0,0,0,1,0
LK-1109275,1178,187,16,0,862,97,4,0,0,0,0,0,1,11
LK-1109280,1467,476,14,0,875,84,14,0,4,0,0,0,0,0
LK-1109285,964,484,29,8,345,36,56,0,3,0,0,0,0,3
LK-1112,62127,40535,3247,488,12089,1051,673,3570,276,1,0,1,15,181
LK-1112005,1953,1083,77,8,616,80,45,17,20,0,0,0,0,7
LK-1112010,411,234,53,2,96,18,4,1,3,0,0,0,0,0
LK-1112015,374,253,84,2,12,12,5,3,2,0,0,0,1,0
LK-1112020,493,349,94,14,0,0,2,26,8,0,0,0,0,0
LK-1112025,443,373,49,2,0,5,0,11,1,0,0,0,0,2
LK-1112030,428,294,8,1,0,8,0,116,1,0,0,0,0,0
LK-1112035,763,536,67,6,3,2,3,143,3,0,0,0,0,0
LK-1112040,723,577,70,10,36,21,1,4,4,0,0,0,0,0
LK-1112045,688,564,109,0,4,3,0,0,8,0,0,0,0,0
LK-1112050,331,288,32,6,0,2,0,0,3,0,0,0,0,0
LK-1112055,814,671,95,4,19,5,7,9,4,0,0,0,0,0
LK-1112060,630,424,41,0,112,9,4,40,0,0,0,0,0,0
LK-1112065,456,357,57,0,1,4,2,32,3,0,0,0,0,0
LK-1112070,1739,1138,209,29,231,8,47,61,16,0,0,0,0,0
LK-1112075,756,536,77,5,1,1,2,133,1,0,0,0,0,0
LK-1112080,1170,832,113,6,19,9,4,182,0,0,0,0,0,5
LK-1112085,1089,842,57,9,23,5,0,151,2,0,0,0,0,0
LK-1112090,547,412,5,0,67,2,3,57,1,0,0,0,0,0
LK-1112095,376,224,51,1,50,4,1,40,4,0,0,0,1,0
LK-1112100,811,644,26,4,31,1,1,100,1,0,0,0,1,2
LK-1112105,143,0,0,0,143,0,0,0,0,0,0,0,0,0
LK-1112110,781,652,21,2,49,17,35,1,3,0,0,0,0,1
LK-1112115,471,233,19,3,185,19,5,0,2,0,0,0,0,5
LK-1112120,873,433,21,5,289,21,59,37,8,0,0,0,0,0
LK-1112125,863,171,23,90,476,73,12,14,2,0,0,0,0,2
LK-1112130,926,336,6,1,479,11,11,76,1,0,0,0,1,4
LK-1112135,671,244,4,0,359,39,7,16,2,0,0,0,0,0
LK-1112140,592,326,5,4,253,3,0,0,0,0,0,1,0,0
LK-1112145,748,459,19,0,206,24,15,19,5,0,0,0,0,1
LK-1112150,836,652,10,0,86,32,48,6,1,0,0,0,0,1
LK-1112155,1047,757,38,5,185,3,2,55,2,0,0,0,0,0
